,country,q027,q029,q127,q098,q130,q106,q131,q005,q006,q111,name
3994,1.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,Japan
3995,1.0,2.0,1.0,1.0,4.0,3.0,,,2.0,3.0,4.0,Japan
3996,1.0,2.0,2.0,2.0,2.0,,4.0,4.0,1.0,,4.0,Japan
3997,1.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,Japan
3998,1.0,,1.0,2.0,3.0,3.0,5.0,4.0,4.0,,5.0,Japan
3999,1.0,1.0,1.0,1.0,3.0,4.0,1.0,3.0,3.0,3.0,1.0,Japan
4000,1.0,1.0,1.0,1.0,1.0,4.0,,3.0,2.0,2.0,4.0,Japan
4001,1.0,2.0,1.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,5.0,Japan
4002,1.0,2.0,1.0,1.0,3.0,2.0,4.0,,3.0,,5.0,Japan
4003,1.0,2.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,Japan
4004,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,4.0,Japan
4005,1.0,2.0,2.0,4.0,1.0,2.0,,4.0,2.0,,,Japan
4006,1.0,2.0,2.0,2.0,,2.0,4.0,2.0,3.0,3.0,2.0,Japan
4007,1.0,1.0,1.0,2.0,3.0,4.0,4.0,4.0,1.0,,4.0,Japan
4008,1.0,2.0,2.0,1.0,3.0,4.0,,4.0,2.0,,,Japan
4009,1.0,2.0,1.0,4.0,3.0,2.0,4.0,1.0,2.0,3.0,4.0,Japan
4010,1.0,2.0,1.0,3.0,2.0,3.0,1.0,4.0,2.0,,2.0,Japan
4011,1.0,2.0,1.0,1.0,3.0,1.0,4.0,2.0,3.0,3.0,3.0,Japan
4012,1.0,2.0,1.0,1.0,2.0,3.0,2.0,4.0,3.0,,3.0,Japan
4013,1.0,1.0,1.0,1.0,,4.0,2.0,4.0,1.0,,1.0,Japan
4014,1.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,4.0,,3.0,Japan
4015,1.0,1.0,1.0,2.0,2.0,4.0,,4.0,3.0,3.0,,Japan
4016,1.0,2.0,1.0,,2.0,4.0,4.0,4.0,1.0,3.0,4.0,Japan
4017,1.0,,1.0,1.0,2.0,3.0,,4.0,,3.0,,Japan
4018,1.0,2.0,1.0,2.0,2.0,2.0,,3.0,3.0,4.0,,Japan
4019,1.0,2.0,1.0,2.0,1.0,4.0,4.0,4.0,3.0,3.0,4.0,Japan
4020,1.0,2.0,1.0,2.0,3.0,3.0,,3.0,,3.0,,Japan
4021,1.0,2.0,1.0,2.0,2.0,4.0,4.0,4.0,3.0,,4.0,Japan
4022,1.0,2.0,2.0,2.0,,,3.0,3.0,2.0,3.0,4.0,Japan
4023,1.0,1.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,Japan
4024,1.0,2.0,1.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,Japan
4025,1.0,2.0,1.0,2.0,3.0,2.0,5.0,3.0,3.0,2.0,4.0,Japan
4026,1.0,2.0,1.0,3.0,,,,3.0,4.0,4.0,4.0,Japan
4027,1.0,2.0,2.0,2.0,,2.0,3.0,,2.0,,4.0,Japan
