,country,q127,q098,q130,q106,q131,q005,q006,name
3183,2.0,2.0,,3.0,3.0,2.0,1.0,3.0,Hong Kong
3184,2.0,3.0,3.0,2.0,3.0,2.0,3.0,,Hong Kong
3185,2.0,2.0,3.0,,2.0,3.0,4.0,2.0,Hong Kong
3186,2.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,Hong Kong
3187,2.0,2.0,3.0,2.0,,2.0,1.0,,Hong Kong
3188,2.0,2.0,3.0,2.0,,3.0,3.0,2.0,Hong Kong
3189,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,Hong Kong
3190,2.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,Hong Kong
3191,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,Hong Kong
3192,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,Hong Kong
3193,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,Hong Kong
3194,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,Hong Kong
3195,2.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,Hong Kong
3196,2.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,Hong Kong
3197,2.0,2.0,3.0,2.0,2.0,,2.0,,Hong Kong
3198,2.0,2.0,3.0,2.0,3.0,,4.0,2.0,Hong Kong
3199,2.0,1.0,2.0,2.0,3.0,3.0,2.0,4.0,Hong Kong
3200,2.0,2.0,3.0,2.0,,2.0,2.0,4.0,Hong Kong
3201,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,Hong Kong
3202,2.0,1.0,,3.0,2.0,3.0,3.0,4.0,Hong Kong
3203,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,Hong Kong
3204,2.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,Hong Kong
3205,2.0,,,3.0,,3.0,4.0,3.0,Hong Kong
3206,2.0,2.0,3.0,2.0,3.0,2.0,1.0,,Hong Kong
3207,2.0,2.0,3.0,3.0,2.0,3.0,4.0,2.0,Hong Kong
3208,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,Hong Kong
3209,2.0,3.0,2.0,3.0,2.0,4.0,3.0,4.0,Hong Kong
3210,2.0,2.0,3.0,3.0,3.0,3.0,2.0,,Hong Kong
3211,2.0,2.0,3.0,2.0,4.0,2.0,4.0,1.0,Hong Kong
3212,2.0,2.0,3.0,2.0,,3.0,4.0,,Hong Kong
3213,2.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,Hong Kong
3214,2.0,2.0,3.0,2.0,4.0,3.0,3.0,,Hong Kong
3215,2.0,3.0,3.0,1.0,2.0,3.0,3.0,4.0,Hong Kong
3216,2.0,2.0,3.0,3.0,,3.0,3.0,,Hong Kong
3217,2.0,,3.0,3.0,3.0,3.0,2.0,,Hong Kong
3218,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,Hong Kong
3219,2.0,2.0,3.0,,4.0,,2.0,4.0,Hong Kong
3220,2.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,Hong Kong
3221,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,Hong Kong
3222,2.0,2.0,2.0,2.0,2.0,,1.0,3.0,Hong Kong
3223,2.0,2.0,2.0,,2.0,2.0,1.0,1.0,Hong Kong
3224,2.0,2.0,2.0,2.0,,3.0,1.0,3.0,Hong Kong
3225,2.0,,,2.0,3.0,2.0,3.0,3.0,Hong Kong
3226,2.0,3.0,4.0,2.0,4.0,2.0,2.0,4.0,Hong Kong
3227,2.0,1.0,2.0,2.0,,3.0,3.0,2.0,Hong Kong
3228,2.0,2.0,4.0,2.0,2.0,3.0,1.0,2.0,Hong Kong
3229,2.0,1.0,3.0,2.0,,1.0,2.0,,Hong Kong
3230,2.0,2.0,3.0,,2.0,3.0,3.0,2.0,Hong Kong
3231,2.0,2.0,,2.0,3.0,3.0,1.0,3.0,Hong Kong
3232,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,Hong Kong
3233,2.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,Hong Kong
3234,2.0,1.0,3.0,2.0,2.0,2.0,4.0,4.0,Hong Kong
3235,2.0,2.0,2.0,2.0,,2.0,4.0,4.0,Hong Kong
3236,2.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,Hong Kong
3237,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,Hong Kong
3238,2.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,Hong Kong
3239,2.0,2.0,2.0,3.0,2.0,4.0,4.0,4.0,Hong Kong
3240,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,Hong Kong
3241,2.0,2.0,3.0,2.0,3.0,2.0,4.0,5.0,Hong Kong
3242,2.0,2.0,,2.0,2.0,3.0,3.0,3.0,Hong Kong
3243,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,Hong Kong
3244,2.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,Hong Kong
3245,2.0,2.0,3.0,2.0,,3.0,1.0,2.0,Hong Kong
3246,2.0,2.0,,,2.0,3.0,2.0,4.0,Hong Kong
3247,2.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,Hong Kong
3248,2.0,,3.0,3.0,,3.0,2.0,,Hong Kong
3249,2.0,2.0,,2.0,3.0,3.0,2.0,3.0,Hong Kong
3250,2.0,2.0,3.0,2.0,1.0,3.0,1.0,4.0,Hong Kong
3251,2.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,Hong Kong
3252,2.0,2.0,3.0,1.0,3.0,2.0,3.0,,Hong Kong
3253,2.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,Hong Kong
3254,2.0,2.0,3.0,2.0,2.0,3.0,4.0,4.0,Hong Kong
3255,2.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,Hong Kong
3256,2.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,Hong Kong
3257,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,Hong Kong
3258,2.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,Hong Kong
3259,2.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,Hong Kong
3260,2.0,2.0,2.0,2.0,,2.0,3.0,3.0,Hong Kong
3261,2.0,,3.0,2.0,3.0,2.0,1.0,,Hong Kong
3262,2.0,2.0,3.0,2.0,4.0,2.0,3.0,2.0,Hong Kong
3263,2.0,2.0,,2.0,,3.0,2.0,,Hong Kong
3264,2.0,2.0,3.0,2.0,,3.0,3.0,,Hong Kong
3265,2.0,2.0,3.0,3.0,2.0,3.0,3.0,,Hong Kong
3266,2.0,1.0,,,,,3.0,,Hong Kong
3267,2.0,2.0,,2.0,,2.0,1.0,4.0,Hong Kong
3268,2.0,2.0,,2.0,,3.0,2.0,3.0,Hong Kong
3269,2.0,2.0,,,,2.0,3.0,3.0,Hong Kong
3270,2.0,3.0,3.0,2.0,4.0,3.0,2.0,4.0,Hong Kong
