,country,q127,q098,q130,q106,q131,q005,q006,q111,name
0,4.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,5.0,Korea
1,4.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,Korea
2,4.0,3.0,,2.0,3.0,2.0,3.0,4.0,5.0,Korea
3,4.0,,3.0,2.0,3.0,2.0,2.0,4.0,5.0,Korea
4,4.0,2.0,,2.0,3.0,2.0,3.0,2.0,5.0,Korea
5,4.0,2.0,3.0,2.0,4.0,2.0,3.0,4.0,5.0,Korea
6,4.0,2.0,,2.0,4.0,2.0,2.0,4.0,5.0,Korea
7,4.0,2.0,3.0,2.0,4.0,2.0,4.0,3.0,5.0,Korea
8,4.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,5.0,Korea
9,4.0,2.0,3.0,2.0,5.0,2.0,4.0,,5.0,Korea
10,4.0,,1.0,3.0,,3.0,1.0,1.0,1.0,Korea
11,4.0,,,,,,2.0,,,Korea
12,4.0,2.0,3.0,2.0,5.0,2.0,2.0,4.0,5.0,Korea
13,4.0,3.0,3.0,2.0,4.0,2.0,4.0,,4.0,Korea
14,4.0,2.0,,,,2.0,4.0,,4.0,Korea
15,4.0,2.0,,2.0,4.0,,4.0,3.0,2.0,Korea
16,4.0,,,,,,4.0,4.0,,Korea
17,4.0,2.0,3.0,2.0,3.0,2.0,4.0,,5.0,Korea
18,4.0,2.0,3.0,2.0,3.0,3.0,4.0,,5.0,Korea
19,4.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,5.0,Korea
20,4.0,2.0,3.0,2.0,4.0,2.0,4.0,3.0,5.0,Korea
21,4.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,4.0,Korea
22,4.0,2.0,3.0,2.0,4.0,2.0,2.0,4.0,5.0,Korea
23,4.0,2.0,,2.0,3.0,2.0,4.0,4.0,4.0,Korea
24,4.0,2.0,3.0,2.0,4.0,2.0,4.0,4.0,5.0,Korea
25,4.0,2.0,2.0,2.0,,2.0,5.0,,5.0,Korea
26,4.0,2.0,3.0,2.0,,2.0,4.0,,4.0,Korea
