,country,q027,q029,q127,q098,q130,q106,q131,q005,q006,q111,name
9256,7.0,2.0,1.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,1.0,Mainland China
9257,7.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,,2.0,Mainland China
9258,7.0,2.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,Mainland China
9259,7.0,2.0,2.0,2.0,3.0,2.0,5.0,4.0,3.0,2.0,2.0,Mainland China
9260,7.0,2.0,1.0,2.0,2.0,2.0,5.0,3.0,3.0,4.0,4.0,Mainland China
9261,7.0,2.0,1.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,Mainland China
9262,7.0,2.0,1.0,3.0,2.0,,4.0,3.0,3.0,3.0,2.0,Mainland China
9263,7.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,,4.0,Mainland China
9264,7.0,2.0,1.0,2.0,2.0,3.0,4.0,3.0,2.0,4.0,2.0,Mainland China
9265,7.0,2.0,1.0,2.0,3.0,2.0,,3.0,3.0,,,Mainland China
9266,7.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,Mainland China
9267,7.0,2.0,1.0,2.0,2.0,2.0,5.0,4.0,2.0,1.0,3.0,Mainland China
9268,7.0,2.0,1.0,1.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,Mainland China
9269,7.0,2.0,1.0,1.0,3.0,1.0,5.0,4.0,2.0,2.0,1.0,Mainland China
9270,7.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,4.0,1.0,Mainland China
9271,7.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,,1.0,Mainland China
9272,7.0,1.0,1.0,,2.0,,,,1.0,1.0,,Mainland China
9273,7.0,1.0,1.0,2.0,4.0,,3.0,3.0,2.0,,2.0,Mainland China
9274,7.0,2.0,1.0,1.0,3.0,2.0,4.0,3.0,2.0,2.0,1.0,Mainland China
9275,7.0,2.0,1.0,2.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,Mainland China
9276,7.0,2.0,1.0,,,,4.0,,3.0,,3.0,Mainland China
9277,7.0,2.0,1.0,1.0,,,,2.0,4.0,,1.0,Mainland China
9278,7.0,2.0,1.0,1.0,2.0,2.0,4.0,4.0,1.0,4.0,5.0,Mainland China
9279,7.0,2.0,1.0,2.0,1.0,2.0,4.0,3.0,3.0,4.0,2.0,Mainland China
9280,7.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0,4.0,5.0,Mainland China
9281,7.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,4.0,4.0,5.0,Mainland China
9282,7.0,2.0,,2.0,3.0,2.0,5.0,2.0,3.0,3.0,3.0,Mainland China
9283,7.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,4.0,Mainland China
9284,7.0,2.0,1.0,4.0,2.0,2.0,4.0,2.0,3.0,2.0,4.0,Mainland China
9285,7.0,2.0,1.0,1.0,1.0,2.0,5.0,3.0,4.0,3.0,2.0,Mainland China
9286,7.0,2.0,1.0,1.0,3.0,1.0,1.0,4.0,3.0,2.0,5.0,Mainland China
9287,7.0,2.0,1.0,1.0,4.0,2.0,,,1.0,2.0,1.0,Mainland China
9288,7.0,2.0,1.0,1.0,2.0,1.0,,3.0,2.0,2.0,2.0,Mainland China
9289,7.0,2.0,1.0,3.0,3.0,4.0,2.0,4.0,2.0,3.0,1.0,Mainland China
9290,7.0,2.0,1.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,Mainland China
9291,7.0,2.0,1.0,3.0,3.0,2.0,5.0,3.0,5.0,3.0,2.0,Mainland China
9292,7.0,2.0,1.0,2.0,3.0,2.0,4.0,2.0,1.0,4.0,1.0,Mainland China
9293,7.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,,2.0,Mainland China
9294,7.0,2.0,1.0,2.0,2.0,2.0,5.0,2.0,1.0,1.0,1.0,Mainland China
9295,7.0,2.0,1.0,3.0,1.0,4.0,4.0,4.0,3.0,1.0,3.0,Mainland China
9296,7.0,1.0,1.0,2.0,3.0,2.0,4.0,3.0,1.0,4.0,2.0,Mainland China
9297,7.0,2.0,1.0,2.0,2.0,2.0,5.0,2.0,1.0,3.0,5.0,Mainland China
9298,7.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,Mainland China
9299,7.0,1.0,1.0,2.0,3.0,3.0,4.0,3.0,1.0,,4.0,Mainland China
9300,7.0,2.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,Mainland China
9301,7.0,2.0,1.0,,,,,,4.0,,,Mainland China
9302,7.0,2.0,1.0,2.0,,,4.0,,2.0,,,Mainland China
9303,7.0,2.0,1.0,3.0,3.0,,4.0,2.0,4.0,2.0,4.0,Mainland China
9304,7.0,2.0,1.0,2.0,,,2.0,2.0,1.0,,2.0,Mainland China
9305,7.0,2.0,1.0,3.0,2.0,2.0,5.0,3.0,3.0,3.0,2.0,Mainland China
9306,7.0,2.0,1.0,3.0,3.0,3.0,5.0,,3.0,4.0,5.0,Mainland China
9307,7.0,2.0,1.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,Mainland China
9308,7.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,Mainland China
9309,7.0,1.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,Mainland China
9310,7.0,2.0,1.0,,3.0,,4.0,3.0,1.0,4.0,4.0,Mainland China
9311,7.0,,1.0,2.0,2.0,3.0,5.0,3.0,1.0,2.0,2.0,Mainland China
9312,7.0,2.0,1.0,2.0,3.0,,3.0,2.0,2.0,,4.0,Mainland China
9313,7.0,2.0,1.0,3.0,3.0,2.0,4.0,3.0,2.0,4.0,4.0,Mainland China
9314,7.0,2.0,2.0,2.0,2.0,,4.0,,3.0,3.0,4.0,Mainland China
9315,7.0,1.0,1.0,2.0,3.0,,,,2.0,,4.0,Mainland China
9316,7.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,Mainland China
9317,7.0,2.0,2.0,,3.0,3.0,3.0,3.0,3.0,4.0,4.0,Mainland China
9318,7.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,,2.0,Mainland China
9319,7.0,2.0,1.0,3.0,2.0,3.0,4.0,3.0,3.0,,4.0,Mainland China
9320,7.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,1.0,Mainland China
9321,7.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,3.0,2.0,Mainland China
9322,7.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,,2.0,Mainland China
9323,7.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,Mainland China
9324,7.0,2.0,1.0,2.0,3.0,,4.0,3.0,1.0,,,Mainland China
9325,7.0,2.0,1.0,3.0,3.0,2.0,5.0,3.0,3.0,3.0,2.0,Mainland China
9326,7.0,2.0,1.0,3.0,3.0,2.0,1.0,3.0,1.0,,2.0,Mainland China
9327,7.0,2.0,2.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,2.0,Mainland China
9328,7.0,2.0,1.0,2.0,3.0,3.0,4.0,3.0,1.0,1.0,4.0,Mainland China
9329,7.0,2.0,1.0,3.0,3.0,,4.0,3.0,4.0,3.0,2.0,Mainland China
9330,7.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,Mainland China
9331,7.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,1.0,3.0,4.0,Mainland China
9332,7.0,2.0,1.0,,2.0,,4.0,,3.0,,4.0,Mainland China
9333,7.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,Mainland China
9334,7.0,2.0,1.0,3.0,3.0,,4.0,3.0,3.0,,2.0,Mainland China
9335,7.0,2.0,1.0,2.0,,,2.0,,2.0,,1.0,Mainland China
9336,7.0,2.0,1.0,,3.0,,,,4.0,3.0,,Mainland China
9337,7.0,2.0,1.0,2.0,4.0,2.0,5.0,3.0,2.0,,3.0,Mainland China
9338,7.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,1.0,,2.0,Mainland China
9339,7.0,2.0,1.0,2.0,2.0,2.0,4.0,3.0,1.0,3.0,4.0,Mainland China
9340,7.0,2.0,1.0,2.0,4.0,2.0,5.0,3.0,1.0,,2.0,Mainland China
9341,7.0,2.0,1.0,2.0,2.0,,4.0,2.0,2.0,2.0,3.0,Mainland China
9342,7.0,2.0,2.0,2.0,3.0,1.0,5.0,1.0,1.0,3.0,3.0,Mainland China
9343,7.0,2.0,1.0,3.0,3.0,2.0,5.0,4.0,4.0,3.0,5.0,Mainland China
9344,7.0,2.0,1.0,1.0,3.0,2.0,4.0,2.0,1.0,2.0,,Mainland China
9345,7.0,2.0,1.0,2.0,2.0,2.0,4.0,3.0,2.0,4.0,3.0,Mainland China
9346,7.0,2.0,2.0,2.0,3.0,2.0,5.0,3.0,2.0,,1.0,Mainland China
9347,7.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0,Mainland China
9348,7.0,2.0,1.0,2.0,2.0,,4.0,3.0,2.0,2.0,2.0,Mainland China
9349,7.0,2.0,1.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,Mainland China
9350,7.0,2.0,1.0,2.0,2.0,2.0,4.0,3.0,1.0,1.0,2.0,Mainland China
9351,7.0,2.0,1.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,Mainland China
9352,7.0,2.0,1.0,,3.0,,3.0,,3.0,4.0,3.0,Mainland China
9353,7.0,2.0,1.0,3.0,3.0,2.0,4.0,3.0,2.0,,5.0,Mainland China
9354,7.0,2.0,1.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,Mainland China
9355,7.0,2.0,1.0,1.0,3.0,1.0,4.0,3.0,4.0,,2.0,Mainland China
9356,7.0,2.0,1.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,Mainland China
9357,7.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,Mainland China
9358,7.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,Mainland China
9359,7.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,Mainland China
9360,7.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,1.0,2.0,2.0,Mainland China
9361,7.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,5.0,Mainland China
9362,7.0,2.0,1.0,2.0,3.0,2.0,4.0,3.0,2.0,,3.0,Mainland China
9363,7.0,1.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,Mainland China
9364,7.0,2.0,1.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,Mainland China
9365,7.0,2.0,1.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,4.0,Mainland China
9366,7.0,1.0,1.0,2.0,2.0,,3.0,3.0,1.0,2.0,2.0,Mainland China
9367,7.0,2.0,1.0,2.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,Mainland China
9368,7.0,1.0,1.0,2.0,3.0,,4.0,2.0,3.0,2.0,5.0,Mainland China
9369,7.0,2.0,1.0,1.0,,2.0,3.0,1.0,3.0,3.0,5.0,Mainland China
9370,7.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,Mainland China
9371,7.0,2.0,1.0,,4.0,,4.0,,1.0,3.0,4.0,Mainland China
9372,7.0,2.0,1.0,2.0,4.0,3.0,3.0,1.0,2.0,2.0,2.0,Mainland China
9373,7.0,2.0,1.0,,2.0,,,3.0,3.0,3.0,,Mainland China
9374,7.0,2.0,1.0,2.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,Mainland China
9375,7.0,1.0,1.0,,1.0,,,,4.0,3.0,,Mainland China
9376,7.0,2.0,1.0,3.0,3.0,2.0,4.0,2.0,4.0,3.0,2.0,Mainland China
9377,7.0,2.0,1.0,2.0,2.0,,4.0,3.0,2.0,3.0,1.0,Mainland China
9378,7.0,2.0,1.0,2.0,3.0,3.0,4.0,3.0,4.0,,2.0,Mainland China
9379,7.0,1.0,1.0,2.0,,,,3.0,1.0,,,Mainland China
