,country,q027,q029,q127,q098,q130,q106,q131,q005,q006,q111,name
8056,6.0,2.0,1.0,1.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,Philippines
8057,6.0,1.0,1.0,1.0,2.0,1.0,3.0,4.0,3.0,4.0,2.0,Philippines
8058,6.0,2.0,1.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,Philippines
8059,6.0,1.0,2.0,4.0,2.0,3.0,3.0,1.0,4.0,5.0,1.0,Philippines
8060,6.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,5.0,4.0,4.0,Philippines
8061,6.0,2.0,1.0,2.0,1.0,2.0,4.0,2.0,3.0,4.0,3.0,Philippines
8062,6.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,3.0,4.0,2.0,Philippines
8063,6.0,2.0,1.0,4.0,2.0,4.0,3.0,4.0,5.0,5.0,3.0,Philippines
8064,6.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,Philippines
8065,6.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,Philippines
8066,6.0,2.0,1.0,2.0,3.0,2.0,4.0,2.0,3.0,4.0,3.0,Philippines
8067,6.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,4.0,5.0,1.0,Philippines
8068,6.0,2.0,2.0,4.0,2.0,2.0,5.0,2.0,4.0,5.0,4.0,Philippines
8069,6.0,1.0,1.0,1.0,3.0,4.0,2.0,2.0,4.0,2.0,5.0,Philippines
8070,6.0,1.0,1.0,4.0,3.0,1.0,3.0,1.0,3.0,4.0,5.0,Philippines
8071,6.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,3.0,2.0,4.0,Philippines
8072,6.0,2.0,1.0,1.0,4.0,1.0,4.0,1.0,5.0,5.0,4.0,Philippines
8073,6.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,5.0,3.0,3.0,Philippines
8074,6.0,2.0,2.0,4.0,1.0,4.0,3.0,4.0,4.0,5.0,2.0,Philippines
8075,6.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,Philippines
8076,6.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,Philippines
8077,6.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,1.0,3.0,Philippines
8078,6.0,2.0,1.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,Philippines
8079,6.0,1.0,1.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,Philippines
8080,6.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,4.0,4.0,4.0,Philippines
8081,6.0,2.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,Philippines
8082,6.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,Philippines
8083,6.0,1.0,1.0,4.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,Philippines
8084,6.0,2.0,1.0,4.0,2.0,3.0,4.0,4.0,5.0,5.0,4.0,Philippines
8085,6.0,2.0,1.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,Philippines
8086,6.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,3.0,2.0,Philippines
8087,6.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,3.0,5.0,Philippines
8088,6.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,4.0,4.0,2.0,Philippines
8089,6.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,4.0,5.0,4.0,Philippines
8090,6.0,2.0,2.0,3.0,1.0,3.0,5.0,3.0,4.0,2.0,1.0,Philippines
8091,6.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,5.0,1.0,Philippines
8092,6.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,4.0,3.0,2.0,Philippines
8093,6.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,Philippines
8094,6.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,4.0,4.0,2.0,Philippines
8095,6.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,5.0,3.0,2.0,Philippines
8096,6.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,4.0,5.0,2.0,Philippines
8097,6.0,2.0,2.0,2.0,1.0,3.0,4.0,3.0,2.0,4.0,4.0,Philippines
8098,6.0,1.0,2.0,4.0,2.0,1.0,4.0,2.0,2.0,5.0,2.0,Philippines
8099,6.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,4.0,5.0,2.0,Philippines
8100,6.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,Philippines
8101,6.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,2.0,3.0,Philippines
8102,6.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,5.0,2.0,Philippines
8103,6.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,4.0,2.0,Philippines
8104,6.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,Philippines
8105,6.0,1.0,1.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,2.0,Philippines
8106,6.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,Philippines
8107,6.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,4.0,4.0,4.0,Philippines
8108,6.0,2.0,1.0,2.0,3.0,3.0,4.0,3.0,3.0,5.0,3.0,Philippines
8109,6.0,2.0,1.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,1.0,Philippines
8110,6.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,1.0,Philippines
8111,6.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,Philippines
8112,6.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0,1.0,Philippines
8113,6.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,Philippines
8114,6.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,Philippines
8115,6.0,2.0,1.0,4.0,3.0,1.0,4.0,3.0,3.0,3.0,3.0,Philippines
8116,6.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,4.0,3.0,2.0,Philippines
8117,6.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,Philippines
8118,6.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,Philippines
8119,6.0,2.0,1.0,1.0,3.0,4.0,3.0,4.0,4.0,3.0,5.0,Philippines
8120,6.0,2.0,1.0,2.0,2.0,2.0,5.0,3.0,3.0,4.0,4.0,Philippines
8121,6.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,4.0,2.0,Philippines
8122,6.0,2.0,1.0,1.0,2.0,3.0,5.0,4.0,1.0,3.0,1.0,Philippines
8123,6.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,Philippines
8124,6.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,Philippines
8125,6.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,1.0,Philippines
8126,6.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,Philippines
8127,6.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,Philippines
8128,6.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,Philippines
8129,6.0,1.0,1.0,4.0,2.0,2.0,3.0,3.0,4.0,2.0,4.0,Philippines
8130,6.0,1.0,1.0,4.0,3.0,2.0,2.0,2.0,1.0,5.0,2.0,Philippines
8131,6.0,2.0,1.0,1.0,3.0,2.0,4.0,2.0,3.0,4.0,3.0,Philippines
8132,6.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0,Philippines
8133,6.0,2.0,1.0,3.0,3.0,2.0,4.0,2.0,4.0,3.0,4.0,Philippines
8134,6.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,5.0,5.0,3.0,Philippines
8135,6.0,2.0,1.0,3.0,3.0,2.0,4.0,2.0,3.0,4.0,3.0,Philippines
8136,6.0,2.0,1.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,1.0,Philippines
8137,6.0,2.0,1.0,1.0,3.0,2.0,4.0,2.0,3.0,3.0,1.0,Philippines
8138,6.0,1.0,1.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,1.0,Philippines
8139,6.0,2.0,1.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,Philippines
8140,6.0,1.0,1.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,4.0,Philippines
8141,6.0,2.0,2.0,4.0,3.0,1.0,5.0,1.0,2.0,2.0,1.0,Philippines
8142,6.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,Philippines
8143,6.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,5.0,2.0,Philippines
8144,6.0,2.0,2.0,3.0,1.0,3.0,2.0,3.0,3.0,4.0,2.0,Philippines
8145,6.0,2.0,1.0,4.0,1.0,3.0,1.0,4.0,4.0,4.0,1.0,Philippines
8146,6.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,Philippines
8147,6.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,3.0,Philippines
8148,6.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,Philippines
8149,6.0,1.0,1.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,Philippines
8150,6.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,5.0,1.0,Philippines
8151,6.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,4.0,3.0,Philippines
8152,6.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,2.0,4.0,4.0,Philippines
8153,6.0,1.0,1.0,4.0,3.0,1.0,4.0,2.0,4.0,4.0,4.0,Philippines
8154,6.0,1.0,1.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,Philippines
8155,6.0,1.0,1.0,2.0,2.0,4.0,1.0,4.0,3.0,4.0,1.0,Philippines
8156,6.0,2.0,1.0,1.0,4.0,2.0,5.0,3.0,3.0,4.0,4.0,Philippines
8157,6.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0,1.0,Philippines
8158,6.0,1.0,1.0,3.0,3.0,1.0,4.0,2.0,3.0,4.0,3.0,Philippines
8159,6.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,2.0,Philippines
8160,6.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,Philippines
8161,6.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,3.0,Philippines
8162,6.0,1.0,1.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,Philippines
8163,6.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,Philippines
8164,6.0,1.0,1.0,4.0,3.0,2.0,2.0,4.0,3.0,4.0,2.0,Philippines
8165,6.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,Philippines
8166,6.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,1.0,Philippines
8167,6.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,Philippines
8168,6.0,1.0,1.0,4.0,2.0,1.0,4.0,2.0,2.0,3.0,3.0,Philippines
8169,6.0,2.0,1.0,2.0,1.0,3.0,3.0,4.0,3.0,4.0,1.0,Philippines
8170,6.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,Philippines
8171,6.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,4.0,4.0,1.0,Philippines
8172,6.0,2.0,1.0,1.0,3.0,1.0,4.0,4.0,3.0,4.0,3.0,Philippines
8173,6.0,2.0,1.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,Philippines
8174,6.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,3.0,4.0,1.0,Philippines
8175,6.0,2.0,1.0,3.0,3.0,3.0,1.0,3.0,4.0,2.0,3.0,Philippines
8176,6.0,2.0,1.0,3.0,2.0,4.0,3.0,4.0,3.0,2.0,4.0,Philippines
8177,6.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,Philippines
8178,6.0,2.0,1.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,Philippines
8179,6.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,4.0,Philippines
8180,6.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,5.0,Philippines
8181,6.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,Philippines
8182,6.0,2.0,2.0,3.0,2.0,3.0,5.0,2.0,3.0,3.0,5.0,Philippines
8183,6.0,2.0,2.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,Philippines
8184,6.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,4.0,Philippines
8185,6.0,1.0,1.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,5.0,Philippines
8186,6.0,1.0,2.0,4.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,Philippines
8187,6.0,2.0,2.0,2.0,3.0,2.0,4.0,1.0,4.0,4.0,2.0,Philippines
8188,6.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,2.0,Philippines
8189,6.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,2.0,Philippines
8190,6.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,2.0,Philippines
8191,6.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,4.0,3.0,Philippines
8192,6.0,2.0,1.0,3.0,4.0,2.0,3.0,2.0,3.0,4.0,3.0,Philippines
8193,6.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,Philippines
8194,6.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,4.0,4.0,4.0,Philippines
8195,6.0,2.0,1.0,1.0,2.0,1.0,4.0,2.0,4.0,3.0,3.0,Philippines
8196,6.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,5.0,3.0,4.0,Philippines
8197,6.0,2.0,1.0,3.0,2.0,3.0,4.0,4.0,2.0,3.0,2.0,Philippines
8198,6.0,1.0,1.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0,2.0,Philippines
8199,6.0,2.0,1.0,1.0,1.0,4.0,3.0,4.0,5.0,5.0,3.0,Philippines
8200,6.0,2.0,1.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,1.0,Philippines
8201,6.0,1.0,1.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,Philippines
8202,6.0,1.0,1.0,3.0,1.0,4.0,3.0,4.0,3.0,3.0,2.0,Philippines
8203,6.0,1.0,1.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,Philippines
8204,6.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,Philippines
8205,6.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,5.0,1.0,1.0,Philippines
8206,6.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,4.0,3.0,3.0,Philippines
8207,6.0,1.0,1.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,1.0,Philippines
8208,6.0,1.0,1.0,1.0,3.0,2.0,5.0,2.0,2.0,5.0,3.0,Philippines
8209,6.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,Philippines
8210,6.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,Philippines
8211,6.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,4.0,4.0,1.0,Philippines
8212,6.0,2.0,2.0,4.0,4.0,2.0,3.0,1.0,3.0,4.0,3.0,Philippines
8213,6.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,Philippines
8214,6.0,2.0,1.0,4.0,2.0,1.0,3.0,3.0,3.0,5.0,1.0,Philippines
