,country,q027,q029,q127,q098,q130,q106,q131,q005,q006,q111,name
5412,3.0,,1.0,4.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,Taiwan
5413,3.0,1.0,1.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,Taiwan
5414,3.0,2.0,1.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,Taiwan
5415,3.0,1.0,1.0,4.0,2.0,4.0,4.0,3.0,3.0,2.0,3.0,Taiwan
5416,3.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,Taiwan
5417,3.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,Taiwan
5418,3.0,2.0,1.0,3.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,Taiwan
5419,3.0,2.0,1.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,Taiwan
5420,3.0,2.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,Taiwan
5421,3.0,,1.0,2.0,2.0,3.0,4.0,2.0,4.0,3.0,3.0,Taiwan
5422,3.0,2.0,1.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,Taiwan
5423,3.0,2.0,1.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,Taiwan
5424,3.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,Taiwan
5425,3.0,1.0,1.0,3.0,2.0,4.0,3.0,4.0,2.0,4.0,2.0,Taiwan
5426,3.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,Taiwan
5427,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,Taiwan
5428,3.0,2.0,1.0,2.0,2.0,4.0,3.0,2.0,2.0,3.0,4.0,Taiwan
5429,3.0,2.0,1.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,Taiwan
5430,3.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,Taiwan
5431,3.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,Taiwan
5432,3.0,2.0,1.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,Taiwan
5433,3.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,Taiwan
5434,3.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,Taiwan
5435,3.0,2.0,1.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,1.0,Taiwan
5436,3.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,Taiwan
5437,3.0,1.0,1.0,2.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,Taiwan
5438,3.0,2.0,1.0,2.0,2.0,3.0,4.0,3.0,2.0,4.0,4.0,Taiwan
5439,3.0,2.0,1.0,4.0,2.0,4.0,4.0,3.0,4.0,5.0,4.0,Taiwan
5440,3.0,2.0,1.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,Taiwan
5441,3.0,2.0,1.0,4.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,Taiwan
5442,3.0,1.0,1.0,3.0,3.0,2.0,5.0,1.0,3.0,4.0,3.0,Taiwan
5443,3.0,2.0,2.0,4.0,3.0,3.0,5.0,2.0,2.0,3.0,4.0,Taiwan
5444,3.0,2.0,1.0,3.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,Taiwan
5445,3.0,2.0,1.0,4.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,Taiwan
5446,3.0,2.0,1.0,2.0,2.0,2.0,3.0,4.0,2.0,4.0,3.0,Taiwan
5447,3.0,1.0,1.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,Taiwan
5448,3.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,Taiwan
5449,3.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,Taiwan
5450,3.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0,Taiwan
5451,3.0,2.0,1.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,2.0,Taiwan
5452,3.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Taiwan
5453,3.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,Taiwan
5454,3.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,Taiwan
5455,3.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,Taiwan
5456,3.0,2.0,1.0,3.0,1.0,3.0,4.0,4.0,2.0,2.0,4.0,Taiwan
5457,3.0,1.0,1.0,2.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,Taiwan
5458,3.0,,1.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,Taiwan
5459,3.0,1.0,1.0,4.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,Taiwan
5460,3.0,2.0,1.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,Taiwan
5461,3.0,1.0,1.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,Taiwan
5462,3.0,1.0,1.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,Taiwan
5463,3.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,4.0,4.0,3.0,Taiwan
5464,3.0,2.0,1.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,Taiwan
5465,3.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,2.0,Taiwan
5466,3.0,2.0,1.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,Taiwan
5467,3.0,2.0,1.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,1.0,Taiwan
5468,3.0,1.0,1.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,1.0,Taiwan
5469,3.0,2.0,1.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,2.0,Taiwan
5470,3.0,1.0,1.0,2.0,3.0,3.0,4.0,2.0,2.0,5.0,4.0,Taiwan
5471,3.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,Taiwan
5472,3.0,2.0,1.0,2.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,Taiwan
5473,3.0,2.0,1.0,4.0,3.0,2.0,2.0,4.0,3.0,4.0,2.0,Taiwan
5474,3.0,2.0,1.0,1.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,Taiwan
5475,3.0,2.0,1.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,Taiwan
5476,3.0,2.0,1.0,3.0,3.0,3.0,4.0,2.0,2.0,4.0,4.0,Taiwan
5477,3.0,,1.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,Taiwan
5478,3.0,2.0,1.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,Taiwan
5479,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,Taiwan
5480,3.0,1.0,1.0,2.0,3.0,2.0,3.0,4.0,2.0,3.0,4.0,Taiwan
5481,3.0,2.0,1.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,5.0,Taiwan
5482,3.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,Taiwan
5483,3.0,1.0,1.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,Taiwan
5484,3.0,2.0,1.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,3.0,Taiwan
5485,3.0,2.0,1.0,2.0,3.0,1.0,3.0,3.0,3.0,4.0,4.0,Taiwan
5486,3.0,2.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,2.0,Taiwan
5487,3.0,2.0,1.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,2.0,Taiwan
5488,3.0,2.0,1.0,3.0,4.0,2.0,4.0,2.0,3.0,2.0,5.0,Taiwan
5489,3.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,Taiwan
5490,3.0,2.0,1.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,2.0,Taiwan
5491,3.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,Taiwan
5492,3.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,Taiwan
5493,3.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,Taiwan
5494,3.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,Taiwan
5495,3.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,Taiwan
5496,3.0,2.0,1.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,Taiwan
5497,3.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,Taiwan
5498,3.0,2.0,1.0,2.0,3.0,2.0,4.0,2.0,3.0,4.0,3.0,Taiwan
5499,3.0,1.0,1.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,4.0,Taiwan
5500,3.0,1.0,1.0,4.0,3.0,4.0,2.0,4.0,2.0,3.0,2.0,Taiwan
5501,3.0,2.0,1.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,3.0,Taiwan
5502,3.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,2.0,Taiwan
5503,3.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,Taiwan
5504,3.0,2.0,1.0,3.0,3.0,1.0,4.0,2.0,4.0,4.0,2.0,Taiwan
5505,3.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,Taiwan
5506,3.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,Taiwan
5507,3.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,2.0,Taiwan
5508,3.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,Taiwan
5509,3.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,Taiwan
5510,3.0,2.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,Taiwan
5511,3.0,2.0,1.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,Taiwan
5512,3.0,2.0,1.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,1.0,Taiwan
5513,3.0,2.0,1.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,4.0,Taiwan
5514,3.0,2.0,1.0,4.0,3.0,4.0,3.0,4.0,2.0,4.0,4.0,Taiwan
5515,3.0,2.0,1.0,3.0,2.0,2.0,4.0,3.0,1.0,5.0,3.0,Taiwan
5516,3.0,2.0,1.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,Taiwan
5517,3.0,2.0,1.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,Taiwan
5518,3.0,,1.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,Taiwan
5519,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,Taiwan
5520,3.0,2.0,2.0,3.0,3.0,4.0,1.0,4.0,4.0,3.0,4.0,Taiwan
5521,3.0,2.0,1.0,4.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,Taiwan
5522,3.0,2.0,1.0,4.0,2.0,4.0,2.0,4.0,2.0,3.0,4.0,Taiwan
