,country,q027,q029,q127,q098,q130,q106,q131,q005,q006,q111,name
6912,5.0,2.0,2.0,2.0,3.0,2.0,4.0,1.0,3.0,3.0,4.0,Thailand
6913,5.0,2.0,1.0,3.0,3.0,2.0,4.0,2.0,4.0,3.0,5.0,Thailand
6914,5.0,2.0,,3.0,4.0,1.0,3.0,1.0,4.0,4.0,4.0,Thailand
6915,5.0,,2.0,3.0,4.0,2.0,5.0,2.0,3.0,2.0,4.0,Thailand
6916,5.0,2.0,1.0,2.0,4.0,2.0,4.0,2.0,2.0,3.0,4.0,Thailand
6917,5.0,2.0,1.0,3.0,3.0,3.0,4.0,3.0,5.0,2.0,3.0,Thailand
6918,5.0,2.0,2.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,Thailand
6919,5.0,2.0,1.0,2.0,2.0,2.0,5.0,2.0,3.0,2.0,4.0,Thailand
6920,5.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,3.0,2.0,5.0,Thailand
6921,5.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,3.0,3.0,4.0,Thailand
6922,5.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,4.0,Thailand
6923,5.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,4.0,3.0,4.0,Thailand
6924,5.0,2.0,2.0,3.0,1.0,2.0,4.0,3.0,2.0,3.0,5.0,Thailand
6925,5.0,2.0,2.0,3.0,2.0,2.0,5.0,3.0,4.0,3.0,4.0,Thailand
6926,5.0,2.0,2.0,3.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,Thailand
6927,5.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,3.0,5.0,Thailand
6928,5.0,2.0,2.0,4.0,3.0,1.0,4.0,2.0,3.0,3.0,4.0,Thailand
6929,5.0,2.0,1.0,3.0,3.0,2.0,5.0,2.0,3.0,4.0,4.0,Thailand
6930,5.0,2.0,1.0,3.0,3.0,2.0,5.0,2.0,3.0,4.0,3.0,Thailand
6931,5.0,2.0,2.0,4.0,3.0,2.0,5.0,2.0,3.0,4.0,5.0,Thailand
6932,5.0,2.0,1.0,3.0,2.0,4.0,2.0,1.0,4.0,3.0,2.0,Thailand
6933,5.0,2.0,1.0,3.0,2.0,4.0,2.0,1.0,4.0,4.0,2.0,Thailand
6934,5.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,Thailand
6935,5.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,Thailand
6936,5.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,Thailand
6937,5.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,4.0,4.0,4.0,Thailand
6938,5.0,2.0,2.0,,2.0,,,,2.0,3.0,4.0,Thailand
6939,5.0,2.0,2.0,,1.0,,,,3.0,3.0,4.0,Thailand
6940,5.0,2.0,1.0,,3.0,,2.0,,2.0,2.0,4.0,Thailand
6941,5.0,2.0,1.0,,3.0,,2.0,,2.0,3.0,4.0,Thailand
6942,5.0,2.0,1.0,,3.0,,2.0,,1.0,4.0,4.0,Thailand
6943,5.0,1.0,2.0,,3.0,,,,4.0,4.0,4.0,Thailand
6944,5.0,2.0,2.0,,3.0,,,,4.0,4.0,4.0,Thailand
6945,5.0,2.0,2.0,,3.0,,4.0,,4.0,4.0,4.0,Thailand
6946,5.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,Thailand
6947,5.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,Thailand
6948,5.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,Thailand
6949,5.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,Thailand
6950,5.0,2.0,1.0,3.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,Thailand
6951,5.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,2.0,Thailand
6952,5.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,4.0,Thailand
6953,5.0,2.0,1.0,4.0,2.0,1.0,4.0,3.0,3.0,4.0,4.0,Thailand
6954,5.0,2.0,1.0,4.0,3.0,1.0,4.0,3.0,5.0,5.0,5.0,Thailand
6955,5.0,2.0,1.0,1.0,3.0,,4.0,1.0,3.0,2.0,4.0,Thailand
6956,5.0,2.0,1.0,1.0,3.0,2.0,4.0,1.0,2.0,2.0,4.0,Thailand
6957,5.0,2.0,1.0,2.0,4.0,1.0,5.0,2.0,2.0,4.0,4.0,Thailand
6958,5.0,2.0,1.0,3.0,3.0,1.0,5.0,3.0,2.0,4.0,4.0,Thailand
6959,5.0,2.0,1.0,4.0,4.0,1.0,5.0,4.0,5.0,5.0,5.0,Thailand
6960,5.0,2.0,1.0,4.0,2.0,1.0,2.0,2.0,3.0,4.0,4.0,Thailand
6961,5.0,2.0,1.0,3.0,3.0,2.0,,1.0,2.0,2.0,5.0,Thailand
6962,5.0,2.0,1.0,2.0,4.0,1.0,4.0,2.0,2.0,2.0,5.0,Thailand
6963,5.0,2.0,1.0,4.0,2.0,3.0,2.0,4.0,3.0,2.0,4.0,Thailand
6964,5.0,2.0,1.0,4.0,3.0,4.0,1.0,3.0,3.0,3.0,,Thailand
6965,5.0,2.0,1.0,2.0,3.0,1.0,4.0,1.0,3.0,4.0,4.0,Thailand
6966,5.0,2.0,1.0,2.0,3.0,2.0,4.0,2.0,2.0,4.0,4.0,Thailand
6967,5.0,2.0,1.0,3.0,3.0,1.0,5.0,2.0,2.0,3.0,4.0,Thailand
6968,5.0,2.0,1.0,3.0,3.0,1.0,3.0,2.0,4.0,4.0,5.0,Thailand
