,se002,se003,se005,se009,q056,q098,q131,q127,q027,complicated,age,voted
5412,1.0,2.0,7.0,3.0,3.0,2.0,4.0,4.0,,Strongly disagree,20-24,No
5413,1.0,2.0,7.0,2.0,2.0,3.0,4.0,3.0,1.0,Somewhat disagree,20-24,No
5414,1.0,2.0,7.0,3.0,3.0,3.0,2.0,4.0,2.0,Strongly disagree,20-24,Yes
5415,1.0,2.0,8.0,2.0,2.0,2.0,3.0,4.0,1.0,Strongly disagree,20-24,No
5416,1.0,3.0,9.0,3.0,2.0,3.0,3.0,3.0,1.0,Somewhat disagree,25-29,No
5417,1.0,3.0,8.0,3.0,3.0,2.0,3.0,3.0,2.0,Somewhat disagree,25-29,Yes
5418,1.0,3.0,8.0,3.0,2.0,2.0,3.0,3.0,2.0,Somewhat disagree,25-29,Yes
5419,1.0,3.0,8.0,,2.0,3.0,3.0,2.0,2.0,Somewhat agree,25-29,Yes
5420,1.0,2.0,8.0,,2.0,3.0,3.0,3.0,2.0,Somewhat disagree,20-24,Yes
5421,1.0,2.0,8.0,4.0,1.0,2.0,2.0,2.0,,Somewhat agree,20-24,No
5422,1.0,3.0,9.0,3.0,3.0,2.0,2.0,4.0,2.0,Strongly disagree,25-29,Yes
5423,1.0,2.0,8.0,2.0,3.0,2.0,3.0,3.0,2.0,Somewhat disagree,20-24,Yes
5424,1.0,3.0,7.0,2.0,2.0,2.0,3.0,2.0,2.0,Somewhat agree,25-29,Yes
5425,1.0,2.0,8.0,3.0,2.0,2.0,4.0,3.0,1.0,Somewhat disagree,20-24,No
5426,1.0,3.0,9.0,3.0,3.0,2.0,3.0,3.0,2.0,Somewhat disagree,25-29,Yes
5427,1.0,3.0,7.0,3.0,3.0,2.0,3.0,2.0,2.0,Somewhat agree,25-29,Yes
5428,1.0,3.0,8.0,4.0,2.0,2.0,2.0,2.0,2.0,Somewhat agree,25-29,Yes
5429,1.0,2.0,8.0,,2.0,3.0,3.0,2.0,2.0,Somewhat agree,20-24,Yes
5430,1.0,3.0,7.0,,2.0,3.0,3.0,2.0,2.0,Somewhat agree,25-29,Yes
5431,1.0,3.0,9.0,3.0,1.0,2.0,3.0,2.0,2.0,Somewhat agree,25-29,Yes
5432,1.0,3.0,9.0,2.0,1.0,3.0,3.0,4.0,2.0,Strongly disagree,25-29,Yes
5433,1.0,3.0,8.0,2.0,2.0,3.0,2.0,2.0,2.0,Somewhat agree,25-29,Yes
5434,1.0,3.0,8.0,2.0,2.0,3.0,2.0,2.0,2.0,Somewhat agree,25-29,Yes
