"","V1","V2","V3","V4","V5","V6","V7"
"1",2,1,3,3,2,1,3
"2",3,3,2,3,2,3,3
"3",2,3,3,2,3,4,2
"4",2,3,3,3,3,4,2
"5",2,3,2,5,2,1,4
"6",2,3,2,3,3,3,2
"7",2,3,2,3,3,2,3
"8",2,2,3,2,3,2,4
"9",3,2,3,2,3,3,3
"10",2,3,3,3,3,3,3
"11",2,3,3,2,3,2,3
"12",3,3,3,2,3,2,3
"13",3,2,3,2,3,2,4
"14",3,3,3,2,3,1,3
"15",2,3,2,2,3,2,1
"16",2,3,2,3,3,4,2
"17",1,2,2,3,3,2,4
"18",2,3,2,5,2,2,4
"19",2,3,3,3,3,3,3
"20",1,3,3,2,3,3,4
"21",2,2,3,2,3,2,3
"22",2,3,3,3,2,2,4
"23",3,4,3,4,3,4,3
"24",2,3,2,3,2,1,3
"25",2,3,3,2,3,4,2
"26",3,3,2,2,3,3,3
"27",3,2,3,2,4,3,4
"28",2,3,3,3,3,2,3
"29",2,3,2,4,2,4,1
"30",2,3,2,4,3,4,1
"31",2,1,3,2,3,1,2
"32",2,3,2,4,3,3,3
"33",3,3,1,2,3,3,4
"34",2,3,3,2,3,3,4
"35",2,3,3,3,3,2,3
"36",2,2,3,2,3,2,3
"37",2,3,1,4,2,2,4
"38",2,2,3,2,3,3,4
"39",2,1,2,3,2,2,2
"40",2,2,2,2,4,1,3
"41",2,2,3,2,2,1,1
"42",2,2,2,1,3,1,3
"43",2,4,2,3,2,3,3
"44",3,4,2,4,2,2,4
"45",1,2,2,1,3,3,2
"46",2,4,2,2,3,1,2
"47",1,3,2,1,1,2,1
"48",2,3,3,2,3,3,2
"49",2,3,2,3,3,1,3
"50",3,2,2,2,3,3,2
"51",2,2,2,3,2,2,4
"52",1,3,2,2,2,4,4
"53",2,2,2,4,2,4,4
"54",2,3,3,3,3,2,4
"55",2,3,2,3,2,3,2
"56",3,2,2,1,3,2,3
"57",2,2,3,2,4,4,4
"58",2,3,3,3,3,2,2
"59",2,3,2,3,2,4,5
"60",2,2,2,2,3,3,3
"61",1,1,3,2,2,1,1
"62",2,2,3,2,3,2,4
"63",2,3,2,5,3,1,2
"64",2,3,2,2,3,2,4
"65",2,3,2,3,3,2,4
"66",2,3,3,3,3,2,3
"67",2,2,2,3,3,2,3
"68",2,3,2,1,3,1,4
"69",2,4,2,3,3,2,3
"70",2,3,1,3,2,3,5
"71",3,2,3,2,3,2,4
"72",2,3,2,2,3,4,4
"73",2,3,3,4,3,2,3
"74",1,2,2,4,2,1,1
"75",2,2,2,3,3,3,3
"76",2,3,2,3,3,3,4
"77",2,3,3,4,3,2,4
"78",2,2,2,2,2,3,3
"79",2,3,2,3,2,1,2
"80",2,3,2,4,2,3,2
"81",2,2,2,1,3,2,4
"82",2,3,2,1,3,3,2
"83",2,3,3,2,3,3,3
"84",1,4,1,5,2,3,4
"85",2,3,2,4,2,1,4
"86",2,1,2,4,3,2,3
"87",2,4,2,3,2,3,3
"88",3,3,2,4,3,2,4
"89",1,3,2,2,3,3,4
"90",2,3,3,2,3,3,3
"91",2,3,2,3,3,4,3
"92",2,3,2,3,3,3,2
"93",2,3,2,2,2,4,4
"94",3,3,2,3,3,4,3
"95",2,3,3,3,3,3,2
"96",2,3,3,2,3,2,3
"97",2,3,2,3,2,3,3
"98",2,2,2,2,3,2,3
"99",3,3,2,2,3,4,4
"100",2,3,2,2,3,4,3
"101",2,3,2,3,2,2,2
"102",2,3,4,2,3,4,3
"103",2,3,3,2,3,4,3
"104",1,3,2,2,3,1,2
"105",3,2,4,2,4,2,2
"106",1,3,3,3,2,3,2
"107",2,3,2,2,3,2,4
"108",2,2,2,2,4,1,3
"109",2,3,2,2,3,4,4
"110",2,2,3,4,3,3,2
"111",1,4,4,2,3,2,1
"112",2,2,2,2,3,3,2
"113",2,3,2,2,3,1,3
"114",2,3,3,2,3,3,3
"115",2,3,3,3,3,2,2
"116",2,4,2,3,3,4,3
"117",2,3,2,4,3,2,1
"118",1,2,2,3,3,3,3
"119",2,3,2,3,2,1,3
"120",2,3,3,2,3,1,5
"121",1,2,4,1,4,1,1
"122",3,3,3,4,3,2,3
"123",2,3,3,3,3,2,3
"124",2,3,2,2,3,2,2
"125",2,3,2,2,3,2,4
"126",2,2,2,2,2,1,3
"127",2,4,2,2,2,3,3
"128",2,2,3,2,3,1,3
"129",2,3,2,2,3,2,2
"130",2,3,2,2,2,2,3
"131",2,3,3,2,3,2,1
"132",2,2,3,3,3,4,3
"133",2,3,2,3,3,2,4
"134",3,2,3,2,3,3,4
"135",2,3,3,1,3,2,4
"136",2,3,2,3,3,3,4
"137",2,3,3,2,3,3,3
"138",2,3,3,3,2,1,3
"139",3,2,3,2,3,2,3
"140",3,1,4,1,4,3,5
"141",2,2,2,2,3,3,2
"142",3,2,2,2,3,3,3
"143",2,4,2,4,3,3,2
"144",3,1,3,1,3,1,4
"145",2,3,2,2,3,4,3
"146",2,2,1,1,3,1,3
"147",2,3,2,2,3,3,4
"148",3,3,2,2,3,5,3
"149",3,3,2,2,3,3,4
"150",3,1,4,3,3,3,3
"151",2,3,2,1,3,2,2
"152",2,3,3,1,3,2,4
"153",2,2,3,1,3,2,3
"154",3,2,2,3,3,3,3
"155",2,1,2,2,3,2,1
"156",2,3,2,3,3,2,3
"157",2,1,4,2,3,2,5
"158",3,3,2,3,3,3,3
"159",2,3,3,3,2,4,4
"160",2,2,3,2,3,4,2
