"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",2,1,2,2,2,1,3,3,3,2
"2",2,1,1,4,3,5,2,2,3,4
"3",2,2,2,2,4,4,4,1,1,4
"4",2,1,1,3,3,2,3,2,3,4
"5",2,1,2,3,3,5,4,4,1,5
"6",1,1,1,3,4,1,3,3,3,1
"7",1,1,1,1,4,4,3,2,2,4
"8",2,1,4,3,4,4,4,2,2,5
"9",2,1,1,3,2,4,4,3,5,5
"10",2,1,3,3,3,4,3,3,4,5
"11",2,1,2,1,3,3,3,2,3,4
"12",2,2,4,1,2,2,4,2,3,5
"13",2,2,2,1,2,4,2,3,3,2
"14",1,1,2,3,4,4,4,1,5,4
"15",2,2,1,3,4,1,4,2,2,1
"16",2,1,4,3,2,4,1,2,3,4
"17",2,1,3,2,3,1,4,2,2,2
"18",2,1,1,3,1,4,2,3,3,3
"19",2,1,1,2,3,2,4,3,4,3
"20",1,1,1,4,4,2,4,1,2,1
"21",1,1,2,3,3,2,2,4,3,3
"22",1,1,2,2,4,4,4,3,3,1
"23",2,1,2,2,4,4,4,1,3,4
"24",2,1,1,2,3,4,4,1,3,4
"25",2,1,2,2,2,5,3,3,4,4
"26",2,1,2,1,4,4,4,3,3,4
"27",2,1,2,3,3,4,3,3,3,4
"28",2,1,2,2,4,4,4,3,4,4
"29",2,2,2,2,4,3,3,2,3,4
"30",1,1,4,3,2,2,2,2,4,4
"31",2,1,2,2,3,4,3,3,3,4
"32",2,1,2,3,2,5,3,3,2,4
"33",2,1,3,1,1,3,3,4,4,4
"34",2,2,2,3,2,3,1,2,5,4
"35",2,1,2,2,3,3,3,2,3,5
"36",1,1,4,4,1,4,2,1,1,5
"37",1,1,1,3,3,4,4,4,2,3
"38",2,1,4,3,3,4,3,3,2,4
"39",1,1,2,1,4,1,3,3,3,5
"40",2,1,3,3,3,4,3,3,4,4
"41",2,2,2,3,2,4,2,2,4,5
"42",2,1,4,2,2,2,3,3,4,5
"43",2,2,4,3,2,4,2,3,3,3
"44",2,1,4,4,3,3,4,2,5,5
"45",2,1,2,4,2,5,2,2,3,5
"46",2,1,4,2,4,5,4,3,2,4
"47",2,1,4,3,3,4,3,3,4,5
"48",2,1,4,3,2,5,2,3,3,4
"49",2,1,3,2,4,4,2,2,4,2
"50",2,1,4,2,2,5,3,3,3,2
"51",2,1,2,3,3,3,3,4,4,4
"52",1,1,2,2,1,4,3,2,1,4
"53",1,1,2,3,2,5,3,4,3,4
"54",2,1,4,1,4,5,3,3,5,5
"55",2,2,2,2,3,5,4,3,3,2
"56",2,2,4,3,4,2,4,2,1,4
"57",2,1,2,2,3,1,3,2,3,3
"58",1,1,2,3,3,4,3,2,4,4
"59",1,1,2,3,3,5,3,3,3,4
"60",2,1,2,1,4,3,4,3,3,3
"61",1,1,3,3,1,3,3,3,4,5
"62",2,1,1,4,2,2,2,1,3,2
