"","q127","q098","q130","q106","q131","q005","q006","q111"
"1",2,2,2,3,2,4,3,5
"2",2,3,2,3,2,3,3,4
"3",3,2,2,3,2,3,4,5
"4",3,3,2,3,2,2,4,5
"5",2,3,2,3,2,3,2,5
"6",2,3,2,4,2,3,4,5
"7",2,3,2,4,2,2,4,5
"8",2,3,2,4,2,4,3,5
"9",2,2,3,3,3,3,2,5
"10",2,3,2,5,2,4,4,5
"11",4,1,3,2,3,1,1,1
"12",1,2,1,5,3,2,4,2
"13",2,3,2,5,2,2,4,5
"14",3,3,2,4,2,4,5,4
"15",2,3,3,3,2,4,5,4
"16",2,1,2,4,2,4,3,2
"17",1,4,3,4,1,4,4,3
"18",2,3,2,3,2,4,4,5
"19",2,3,2,3,3,4,5,5
"20",2,3,2,2,2,1,3,5
"21",2,3,2,4,2,4,3,5
"22",2,3,2,2,3,2,3,4
"23",2,3,2,4,2,2,4,5
"24",2,3,2,3,2,4,4,4
"25",2,3,2,4,2,4,4,5
"26",2,2,2,4,2,5,4,5
"27",2,3,2,5,2,4,4,4
"28",2,3,2,3,2,4,4,5
"29",3,2,2,2,2,4,4,4
"30",3,3,2,4,2,4,4,5
"31",3,3,2,4,3,4,4,5
"32",2,3,2,2,2,4,4,5
"33",4,3,2,4,2,3,2,5
"34",3,3,2,3,2,4,2,5
"35",2,3,2,3,2,4,3,5
"36",2,3,2,4,2,4,3,5
"37",3,3,2,4,2,4,4,4
"38",2,3,2,3,3,3,4,4
"39",2,3,2,1,3,2,2,4
"40",2,3,2,3,2,4,3,5
"41",2,3,2,4,2,2,4,4
"42",2,3,2,4,2,2,4,5
"43",2,3,2,4,2,4,4,5
"44",2,3,2,4,2,3,4,4
"45",2,3,2,3,1,4,3,5
"46",3,3,2,4,4,4,3,4
"47",2,2,2,4,2,3,2,5
"48",2,3,2,4,2,4,3,5
"49",3,3,2,3,2,4,4,5
"50",3,3,2,3,2,4,4,5
"51",2,3,2,3,2,2,2,4
"52",3,2,1,3,1,3,4,5
"53",2,2,2,3,2,3,3,5
"54",2,3,2,3,2,4,4,4
"55",4,2,2,4,2,3,4,5
"56",2,3,2,4,3,4,4,5
"57",2,3,2,4,2,2,2,5
"58",2,3,2,4,2,2,2,4
"59",2,3,3,1,2,2,3,5
"60",2,1,1,4,1,2,1,1
"61",2,3,2,3,2,3,4,4
"62",1,2,3,4,3,2,2,5
"63",2,3,2,4,2,4,4,4
"64",2,2,2,4,3,4,5,4
"65",3,3,2,4,2,3,4,4
"66",2,3,2,2,2,4,4,4
"67",2,2,2,2,2,4,4,4
"68",2,2,2,3,4,4,4,5
"69",3,3,2,4,2,4,3,5
"70",3,2,2,4,2,4,4,4
"71",2,3,2,5,2,4,3,5
"72",3,3,2,4,2,4,4,5
"73",2,1,3,1,3,4,4,2
"74",2,1,4,3,3,3,3,4
"75",3,4,2,3,3,2,2,4
"76",2,2,2,4,2,2,2,4
"77",2,3,2,4,3,4,3,5
"78",2,3,2,4,2,5,3,5
"79",3,3,2,4,2,4,5,4
"80",2,3,2,4,2,4,5,4
"81",2,3,2,4,2,4,3,4
"82",2,3,2,4,2,2,3,5
"83",3,3,2,4,2,2,3,4
"84",2,3,3,3,2,2,1,4
"85",3,3,2,5,4,3,3,4
"86",2,3,2,5,2,3,3,4
"87",2,3,2,4,2,4,4,5
"88",2,2,3,2,3,4,3,4
"89",2,2,2,4,2,4,3,4
"90",2,3,2,2,3,2,2,4
"91",2,4,2,4,2,3,3,5
"92",2,3,2,2,2,2,4,4
"93",2,2,2,4,3,2,4,5
"94",2,3,2,4,2,2,2,4
"95",2,3,4,5,2,4,3,4
"96",3,3,2,4,2,5,3,5
"97",2,4,1,4,2,2,2,4
"98",2,3,2,4,2,2,1,4
"99",2,4,1,5,1,5,5,5
"100",2,3,1,3,2,3,3,4
"101",2,3,2,4,2,4,4,5
"102",3,3,2,4,2,4,4,5
"103",2,3,2,4,2,4,4,4
"104",3,3,4,1,3,4,4,4
"105",2,2,3,3,2,2,4,4
"106",2,3,2,4,2,5,4,4
"107",2,3,2,4,2,4,4,5
"108",2,3,2,4,2,4,3,5
"109",2,3,2,4,2,4,4,5
"110",3,4,2,4,3,5,5,5
"111",3,3,3,3,2,5,5,5
"112",2,3,2,4,2,4,4,5
"113",3,3,2,2,4,2,5,5
"114",2,4,2,3,3,4,4,4
"115",3,3,2,3,2,5,5,5
"116",3,2,2,3,2,2,3,5
"117",2,3,2,3,2,3,4,4
"118",4,3,2,4,3,4,5,4
"119",3,3,2,4,3,3,4,4
"120",2,2,2,2,2,4,5,4
"121",1,1,3,3,3,3,2,4
"122",4,2,2,2,4,4,4,5
"123",2,2,2,2,2,3,4,5
"124",2,4,2,3,3,4,2,4
"125",1,4,1,3,2,5,5,5
"126",2,3,2,3,2,2,4,4
