"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",2,1,2,3,2,4,3,2,2,1
"2",2,2,2,4,3,3,2,2,4,2
"3",2,1,2,2,4,4,4,4,3,4
"4",2,2,2,3,2,5,4,3,2,2
"5",2,1,2,2,2,5,3,3,4,4
"6",2,1,2,3,2,4,3,3,3,2
"7",2,1,3,2,3,4,3,3,3,2
"8",2,1,2,3,2,3,3,2,5,4
"9",2,1,2,2,3,4,3,2,4,2
"10",2,1,2,3,2,5,3,3,2,3
"11",2,1,2,2,2,3,3,2,2,2
"12",2,1,2,2,2,5,4,2,1,3
"13",2,1,1,3,3,4,3,3,4,2
"14",2,1,1,3,1,5,4,2,2,1
"15",2,2,1,3,2,3,3,2,4,1
"16",2,1,2,2,3,3,3,2,5,1
"17",1,1,3,2,4,5,1,1,1,4
"18",1,1,2,4,2,3,3,2,4,2
"19",2,1,1,3,2,4,3,2,2,1
"20",2,1,2,3,2,4,3,4,3,3
"21",2,1,1,2,4,4,2,3,4,3
"22",2,1,1,4,1,2,2,4,3,1
"23",2,1,1,2,2,4,4,1,4,5
"24",2,1,2,1,2,4,3,3,4,2
"25",2,2,3,3,3,2,3,1,4,5
"26",2,2,2,3,2,4,3,4,4,5
"27",2,1,2,3,2,5,2,3,3,3
"28",2,1,2,2,2,3,3,4,2,4
"29",2,1,4,2,2,4,2,3,2,4
"30",2,1,1,1,2,5,3,4,3,2
"31",2,1,1,3,1,1,4,3,2,5
"32",2,1,1,4,2,2,3,1,2,1
"33",2,1,1,2,1,3,3,2,2,2
"34",2,1,3,3,4,2,4,2,3,1
"35",2,1,2,3,2,4,3,2,2,2
"36",2,1,3,3,2,5,3,5,3,2
"37",2,1,2,3,2,4,2,1,4,1
"38",2,2,3,2,3,3,3,2,1,2
"39",2,1,2,2,2,5,2,1,1,1
"40",2,1,3,1,4,4,4,3,1,3
"41",1,1,2,3,2,4,3,1,4,2
"42",2,1,2,2,2,5,2,1,3,5
"43",1,1,2,4,2,2,2,3,2,2
"44",1,1,2,3,3,4,3,1,4,4
"45",2,2,4,2,2,3,3,3,4,4
"46",2,1,4,1,4,5,4,4,1,5
"47",2,1,2,3,2,4,2,2,3,1
"48",2,1,3,3,4,4,2,4,2,4
"49",2,1,2,4,1,2,2,1,4,2
"50",2,1,3,2,2,5,3,3,3,2
"51",2,1,3,3,3,5,3,3,4,5
"52",2,1,2,2,3,4,3,3,3,3
"53",2,1,2,3,2,3,2,3,2,4
"54",1,1,3,3,3,4,3,3,3,3
"55",2,1,1,3,3,4,3,1,4,4
"56",2,1,2,2,3,5,3,1,2,2
"57",2,1,2,3,2,3,2,2,4,4
"58",2,1,3,3,2,4,3,2,4,4
"59",2,2,2,2,2,4,1,3,3,4
"60",1,1,2,3,3,5,2,2,1,4
"61",2,1,3,3,3,2,3,2,3,2
"62",2,2,4,3,3,3,3,3,4,4
"63",2,1,3,3,3,2,3,3,2,2
"64",2,1,3,2,3,4,3,3,4,4
"65",2,1,2,2,3,1,3,3,3,1
"66",2,1,2,1,3,2,3,1,3,2
"67",1,1,3,2,3,3,3,3,5,2
"68",2,1,2,3,2,2,2,3,3,2
"69",2,1,2,3,3,4,3,1,5,1
"70",2,1,3,3,2,5,3,3,3,2
"71",2,1,3,3,2,1,3,1,3,2
"72",2,2,3,4,2,3,2,2,3,2
"73",2,1,2,3,3,4,3,1,1,4
"74",2,1,3,3,4,4,3,4,3,2
"75",2,1,3,2,3,3,3,3,3,4
"76",2,2,2,3,2,4,3,1,3,4
"77",2,1,4,2,3,4,3,3,3,4
"78",2,1,2,2,2,4,2,2,4,4
"79",2,1,3,3,1,4,3,3,1,2
"80",2,1,2,1,1,2,1,2,5,1
"81",2,1,2,3,1,2,4,4,3,5
"82",2,1,2,4,2,5,3,2,1,3
"83",2,1,2,2,2,4,2,1,2,2
"84",2,1,2,2,2,4,3,1,3,4
"85",2,1,2,4,2,5,3,1,2,2
"86",2,1,2,2,2,4,2,2,2,3
"87",2,2,2,3,1,5,1,1,3,3
"88",2,1,3,3,2,5,4,4,3,5
"89",2,1,1,3,2,4,2,1,2,1
"90",2,1,2,2,2,4,3,2,4,3
"91",2,2,2,3,2,5,3,2,3,1
"92",2,1,2,2,2,3,3,1,3,2
"93",2,1,2,2,4,4,3,2,2,2
"94",2,1,2,3,2,4,3,3,3,4
"95",2,1,2,2,2,4,3,1,1,2
"96",2,1,2,3,2,4,3,3,3,4
"97",2,1,4,3,4,3,2,3,4,3
"98",2,1,3,3,2,4,3,2,3,5
"99",2,1,2,3,3,4,3,3,3,3
"100",2,1,1,3,1,4,3,4,4,2
"101",2,1,3,3,2,4,3,4,4,4
"102",2,1,2,2,2,2,2,2,4,3
"103",2,1,2,2,2,2,3,2,3,3
"104",2,1,2,2,2,3,2,2,2,1
"105",2,2,2,2,2,4,3,1,2,2
"106",2,1,2,2,2,2,3,2,4,5
"107",2,1,2,3,2,4,3,2,4,3
"108",1,2,2,3,3,4,3,4,4,5
"109",2,1,2,3,2,4,3,3,3,4
"110",2,1,3,4,2,3,2,2,3,4
"111",1,1,2,2,4,3,3,1,2,2
"112",2,1,2,3,2,4,3,2,3,3
"113",1,1,2,3,2,4,2,3,2,5
"114",2,1,1,2,2,3,1,3,3,5
"115",2,2,2,3,2,4,3,3,3,2
"116",2,1,4,4,1,4,3,1,3,4
"117",2,1,2,4,3,3,1,2,2,2
"118",2,1,1,2,2,4,3,3,3,5
"119",2,1,2,2,2,4,3,1,1,1
"120",1,1,3,1,3,4,2,4,3,4
"121",2,1,3,3,2,4,2,4,3,2
"122",2,1,2,2,3,4,3,2,3,1
"123",2,1,2,3,3,4,3,4,3,2
"124",1,1,2,3,2,2,3,1,4,4
"125",1,1,2,3,2,4,3,2,3,1
"126",2,2,3,4,2,3,4,1,4,1
"127",2,1,2,3,3,4,3,2,3,4
"128",2,1,2,3,2,5,3,3,2,3
"129",2,1,2,3,3,5,3,2,4,2
"130",2,1,2,2,2,3,3,2,3,2
"131",2,1,2,3,2,5,3,4,4,2
"132",1,1,2,1,3,4,3,1,3,1
"133",2,1,2,3,1,2,1,3,4,1
"134",2,1,2,2,2,4,3,5,1,3
"135",2,1,2,2,2,4,3,3,4,4
"136",2,1,2,1,1,3,3,3,1,5
"137",2,1,2,4,3,3,3,2,2,4
"138",2,1,3,2,3,3,4,2,1,2
"139",2,1,2,3,3,3,3,4,5,2
"140",2,1,2,3,2,4,2,2,4,3
"141",2,1,3,2,2,3,3,2,4,4
"142",2,1,3,2,2,4,3,2,4,4
"143",2,1,2,2,3,3,4,2,2,3
"144",2,1,2,1,2,3,4,1,4,2
"145",2,1,2,4,3,3,3,3,2,5
"146",2,1,2,3,2,4,3,2,3,3
"147",1,1,3,2,2,4,3,2,2,2
"148",1,1,2,4,4,3,4,1,2,2
"149",2,1,2,2,2,3,3,2,4,2
"150",2,1,2,3,2,5,3,1,1,5
"151",2,1,2,3,2,4,3,3,3,4
"152",2,1,2,2,2,4,3,2,3,2
"153",2,1,2,3,2,5,3,2,2,3
"154",2,1,1,4,2,2,2,3,3,1
"155",2,1,3,3,2,4,3,2,3,3
"156",2,1,2,2,3,4,3,1,1,2
"157",1,1,3,3,3,4,3,1,2,2
"158",1,1,2,3,3,3,4,2,2,1
"159",2,1,2,1,2,3,3,3,2,4
"160",2,1,2,3,2,4,3,3,2,3
"161",2,2,2,2,2,4,3,1,2,1
"162",2,1,2,1,2,3,2,3,3,2
"163",2,2,2,3,2,4,3,1,5,4
"164",2,1,2,3,2,4,3,3,3,2
"165",2,1,3,3,2,4,2,1,2,2
"166",2,1,2,3,2,3,3,2,3,4
"167",2,1,2,3,2,4,3,2,2,2
