"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",2,1,1,3,4,4,2,4,4,4
"2",1,1,1,2,1,3,4,3,4,2
"3",2,1,4,3,3,2,3,3,4,2
"4",1,2,4,2,3,3,1,4,5,1
"5",1,2,3,2,2,3,1,5,4,4
"6",2,1,2,1,2,4,2,3,4,3
"7",1,1,3,2,3,2,1,3,4,2
"8",2,1,4,2,4,3,4,5,5,3
"9",2,1,3,2,2,3,3,4,4,3
"10",1,1,3,2,2,2,2,4,3,3
"11",2,1,2,3,2,4,2,3,4,3
"12",2,1,2,2,3,2,3,4,5,1
"13",2,2,4,2,2,5,2,4,5,4
"14",1,1,1,3,4,2,2,4,2,5
"15",1,1,4,3,1,3,1,3,4,5
"16",2,1,1,2,4,2,2,3,2,4
"17",2,1,1,4,1,4,1,5,5,4
"18",1,1,2,3,3,3,2,5,3,3
"19",2,2,4,1,4,3,4,4,5,2
"20",2,1,2,2,2,2,2,3,2,2
"21",2,2,3,2,3,3,2,3,4,4
"22",2,2,2,2,2,3,2,4,1,3
"23",2,1,4,3,3,3,2,3,3,3
"24",1,1,3,3,3,4,2,4,3,3
"25",2,1,3,2,3,3,2,4,4,4
"26",2,1,3,1,3,3,3,3,4,3
"27",2,1,3,3,2,3,3,4,3,2
"28",1,1,4,2,3,3,2,3,4,3
"29",2,1,4,2,3,4,4,5,5,4
"30",2,1,3,2,3,4,2,3,3,2
"31",1,1,2,2,1,2,2,4,3,2
"32",2,1,1,1,2,2,3,4,3,5
"33",1,1,3,1,1,2,1,4,4,2
"34",1,1,1,2,4,3,1,4,5,4
"35",2,2,3,1,3,5,3,4,2,1
"36",1,1,1,1,1,3,2,3,5,1
"37",1,1,2,1,1,3,1,4,3,2
"38",2,1,1,2,3,3,1,2,2,1
"39",1,1,1,4,1,2,1,4,4,2
"40",2,1,3,2,3,2,1,5,3,2
"41",2,1,1,3,3,3,2,4,5,2
"42",2,2,2,1,3,4,3,2,4,4
"43",1,2,4,2,1,4,2,2,5,2
"44",2,2,2,2,1,3,2,4,5,2
"45",2,1,3,2,3,3,3,4,4,3
"46",2,2,3,2,3,4,3,4,2,3
"47",2,1,2,3,2,3,2,2,5,2
"48",2,2,2,1,2,3,3,2,4,2
"49",2,1,3,2,3,3,3,4,3,3
"50",1,1,4,2,4,3,4,3,3,2
"51",1,1,3,3,3,3,3,3,3,2
"52",2,1,1,2,1,4,1,4,4,4
"53",2,1,2,3,3,4,3,3,5,3
"54",2,1,3,2,4,4,4,3,4,1
"55",2,1,3,3,2,3,3,3,4,1
"56",2,1,1,3,2,2,3,4,3,4
"57",2,1,3,2,2,2,3,4,4,1
"58",2,2,3,3,3,2,3,3,3,1
"59",2,1,2,3,3,2,3,3,4,3
"60",2,1,4,3,1,4,3,3,3,3
"61",2,1,2,3,2,3,2,4,3,2
"62",2,1,2,2,2,3,3,3,3,2
"63",2,2,2,3,3,2,2,3,3,1
"64",2,1,1,3,4,3,4,4,3,5
"65",2,1,2,2,2,5,3,3,4,4
"66",2,1,1,2,1,3,3,3,4,2
"67",2,1,1,2,3,5,4,1,3,1
"68",2,1,3,2,2,3,3,3,2,1
"69",2,2,2,2,3,2,3,3,3,1
"70",2,2,2,2,2,2,4,4,3,1
"71",1,1,2,2,3,3,3,3,3,3
"72",1,1,3,2,3,3,3,2,3,3
"73",1,2,3,3,3,3,3,5,4,3
"74",1,1,4,2,2,3,3,4,2,4
"75",1,1,4,3,2,2,2,1,5,2
"76",2,1,1,3,2,4,2,3,4,3
"77",1,1,2,2,3,4,4,4,3,4
"78",2,1,3,3,2,4,2,4,3,4
"79",2,1,1,3,2,3,2,5,5,3
"80",2,1,3,3,2,4,2,3,4,3
"81",2,1,3,4,3,3,3,4,4,1
"82",2,1,1,3,2,4,2,3,3,1
"83",1,1,3,3,4,5,3,3,3,1
"84",2,1,2,4,3,3,4,2,3,3
"85",1,1,4,3,4,2,4,3,4,4
"86",2,2,4,3,1,5,1,2,2,1
"87",2,1,3,1,2,2,2,3,3,2
"88",2,1,3,2,3,2,3,3,5,2
"89",2,2,3,1,3,2,3,3,4,2
"90",2,1,4,1,3,1,4,4,4,1
"91",2,1,3,2,3,3,3,4,3,3
"92",2,1,2,2,2,4,2,2,4,3
"93",2,1,3,2,3,3,3,4,3,3
"94",1,1,3,2,4,3,3,4,3,3
"95",1,1,2,3,2,3,2,3,5,1
"96",1,1,2,3,2,3,1,2,4,3
"97",2,1,3,2,1,3,3,2,4,4
"98",1,1,4,3,1,4,2,4,4,4
"99",1,1,2,3,4,3,2,3,3,3
"100",1,1,2,2,4,1,4,3,4,1
"101",2,1,1,4,2,5,3,3,4,4
"102",2,1,2,2,3,1,2,3,3,1
"103",1,1,3,3,1,4,2,3,4,3
"104",2,1,2,3,2,3,2,3,4,2
"105",2,1,2,3,2,3,3,3,4,3
"106",1,2,2,1,2,2,2,2,4,3
"107",1,1,3,3,2,4,3,3,3,3
"108",1,1,3,3,2,2,3,2,4,3
"109",1,1,4,3,2,2,4,3,4,2
"110",2,1,2,2,2,2,3,2,4,4
"111",2,1,1,1,2,3,3,3,3,1
"112",2,1,2,2,2,3,2,3,3,3
"113",1,1,4,2,1,4,2,2,3,3
"114",2,1,2,1,3,3,4,3,4,1
"115",1,1,1,3,3,2,2,2,4,2
"116",1,1,2,2,1,3,4,4,4,1
"117",2,1,1,3,1,4,4,3,4,3
"118",2,1,3,3,4,3,4,3,2,3
"119",2,2,4,2,1,2,2,3,4,1
"120",2,1,3,3,3,1,3,4,2,3
"121",2,1,3,2,4,3,4,3,2,4
"122",2,1,2,2,3,3,2,1,2,2
"123",2,1,4,2,2,3,2,2,3,3
"124",1,1,2,2,2,3,2,3,4,4
"125",2,1,3,3,2,3,3,3,3,5
"126",1,1,2,2,3,3,2,3,3,3
"127",2,2,3,2,3,5,2,3,3,5
"128",2,2,4,3,3,3,2,4,3,3
"129",2,1,3,3,2,3,2,4,3,4
"130",1,1,3,3,1,3,2,3,3,5
"131",1,2,4,2,3,4,3,4,3,4
"132",2,2,2,3,2,4,1,4,4,2
"133",2,1,2,3,1,2,2,3,3,2
"134",1,1,2,3,2,2,2,4,4,2
"135",2,1,2,2,2,3,2,4,4,2
"136",1,2,2,3,2,3,2,4,4,3
"137",2,1,3,4,2,3,2,3,4,3
"138",2,1,1,2,2,2,3,4,3,2
"139",2,1,2,3,2,3,2,4,4,4
"140",2,1,1,2,1,4,2,4,3,3
"141",1,1,1,2,1,4,2,5,3,4
"142",2,1,3,2,3,4,4,2,3,2
"143",1,1,4,3,3,2,4,4,4,2
"144",2,1,1,1,4,3,4,5,5,3
"145",2,1,3,3,4,3,4,3,3,1
"146",1,1,4,3,3,2,3,4,4,3
"147",1,1,3,1,4,3,4,3,3,2
"148",1,1,2,2,3,4,3,3,2,3
"149",2,2,1,1,3,3,3,3,3,3
"150",2,2,1,1,2,1,3,5,1,1
"151",1,1,1,3,1,3,2,4,3,3
"152",1,1,2,2,4,2,4,2,2,1
"153",1,1,1,3,2,5,2,2,5,3
"154",2,2,2,2,3,3,3,2,3,3
