"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",1,1,4,2,3,3,4,2,2,2
"2",1,1,3,3,4,3,4,3,3,2
"3",2,1,4,3,3,3,2,3,3,3
"4",1,1,4,2,4,4,3,3,2,3
"5",1,1,3,3,2,3,3,3,3,2
"6",2,1,3,2,3,3,3,4,2,3
"7",2,1,3,2,4,3,3,4,2,3
"8",2,1,2,3,2,4,3,3,4,3
"9",2,1,3,3,3,4,3,3,4,4
"10",1,1,2,2,3,4,2,4,3,3
"11",2,1,4,2,3,2,2,2,2,2
"12",2,1,3,2,4,2,3,2,4,2
"13",2,1,2,2,2,3,3,2,2,2
"14",1,1,3,2,4,3,4,2,4,2
"15",2,1,3,2,3,3,3,3,4,3
"16",2,2,2,2,2,3,3,2,3,3
"17",2,1,2,2,4,3,2,2,3,4
"18",2,1,2,3,3,4,3,3,4,2
"19",2,1,2,3,3,3,3,3,4,3
"20",2,1,2,2,2,3,3,3,3,3
"21",2,1,4,3,4,4,3,3,3,3
"22",2,1,2,3,2,2,2,3,3,2
"23",2,1,2,3,3,2,2,3,3,2
"24",2,1,2,3,4,3,3,3,4,1
"25",2,1,2,3,3,2,3,3,3,1
"26",1,1,2,3,3,4,2,3,4,4
"27",2,1,2,2,3,4,3,2,4,4
"28",2,1,4,2,4,4,3,4,5,4
"29",2,1,4,2,2,2,3,3,3,2
"30",2,1,4,2,4,2,3,3,3,3
"31",1,1,3,3,2,5,1,3,4,3
"32",2,2,4,3,3,5,2,2,3,4
"33",2,1,3,2,2,4,4,3,3,3
"34",2,1,4,2,2,2,3,3,4,3
"35",2,1,2,2,2,3,4,2,4,3
"36",1,1,3,3,2,4,2,3,3,3
"37",1,1,2,2,2,3,3,2,3,2
"38",2,1,3,3,2,3,2,2,3,4
"39",2,1,2,3,2,2,2,3,2,4
"40",2,1,3,2,4,4,3,3,4,2
"41",2,1,3,3,3,3,3,3,3,3
"42",2,1,2,3,3,3,3,2,2,3
