"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",2,2,2,3,2,4,1,3,3,4
"2",2,1,3,3,2,4,2,4,3,5
"3",2,2,3,4,1,3,1,4,4,4
"4",2,2,3,4,2,5,2,3,2,4
"5",2,1,2,4,2,4,2,2,3,4
"6",2,1,3,3,3,4,3,5,2,3
"7",2,2,3,2,4,4,3,3,3,4
"8",2,1,2,2,2,5,2,3,2,4
"9",2,2,2,2,2,5,2,3,2,5
"10",2,2,2,2,2,5,2,3,3,4
"11",2,2,2,2,1,4,2,2,2,4
"12",2,2,2,1,1,4,2,4,3,4
"13",2,2,3,1,2,4,3,2,3,5
"14",2,2,3,2,2,5,3,4,3,4
"15",2,2,3,2,2,4,1,3,2,4
"16",2,2,3,2,2,4,3,2,3,5
"17",2,2,4,3,1,4,2,3,3,4
"18",2,1,3,3,2,5,2,3,4,4
"19",2,1,3,3,2,5,2,3,4,3
"20",2,2,4,3,2,5,2,3,4,5
"21",2,1,3,2,4,2,1,4,3,2
"22",2,1,3,2,4,2,1,4,4,2
"23",2,1,3,2,2,2,3,2,4,2
"24",2,1,3,2,2,2,3,3,4,4
"25",2,2,2,3,2,2,2,4,4,4
"26",2,2,3,3,2,1,2,4,4,4
"27",2,2,3,2,3,1,1,2,3,4
"28",2,2,2,1,2,4,2,3,3,4
"29",2,1,2,3,1,2,2,2,2,4
"30",2,1,1,3,4,2,3,2,3,4
"31",2,1,4,3,3,2,1,1,4,4
"32",1,2,2,3,2,4,4,4,4,4
"33",2,2,3,3,3,4,4,4,4,4
"34",2,2,4,3,2,4,4,4,4,4
"35",2,2,2,3,2,2,2,4,4,4
"36",2,2,2,3,2,2,2,3,4,3
"37",2,1,2,3,2,3,3,3,3,4
"38",2,2,2,3,3,3,2,4,3,4
"39",2,1,3,4,2,2,2,4,4,4
"40",2,2,2,3,2,3,2,3,4,2
"41",2,1,3,3,2,2,1,1,3,4
"42",2,1,4,2,1,4,3,3,4,4
"43",2,1,4,3,1,4,3,5,5,5
"44",2,1,1,3,3,4,1,3,2,4
"45",2,1,1,3,2,4,1,2,2,4
"46",2,1,2,4,1,5,2,2,4,4
"47",2,1,3,3,1,5,3,2,4,4
"48",2,1,4,4,1,5,4,5,5,5
"49",2,1,4,2,1,2,2,3,4,4
"50",2,1,3,3,2,2,1,2,2,5
"51",2,1,2,4,1,4,2,2,2,5
"52",2,1,4,2,3,2,4,3,2,4
"53",2,1,4,3,4,1,3,3,3,4
"54",2,1,2,3,1,4,1,3,4,4
"55",2,1,2,3,2,4,2,2,4,4
"56",2,1,3,3,1,5,2,2,3,4
"57",2,1,3,3,1,3,2,4,4,5
"58",2,1,2,3,3,3,1,4,4,5
"59",2,1,4,4,1,1,2,4,3,3
"60",2,1,2,3,3,4,4,3,4,3
"61",2,2,3,3,2,2,3,3,4,4
"62",2,2,3,3,3,3,2,4,4,3
"63",2,2,4,4,2,3,2,4,3,4
"64",2,2,4,3,2,2,2,3,3,4
"65",2,1,3,3,2,2,3,4,4,3
"66",2,1,3,3,2,2,2,4,4,2
"67",2,2,3,3,2,2,3,3,3,2
"68",2,2,3,3,3,4,3,4,4,4
"69",2,2,3,2,3,4,3,4,4,4
