"Gender" "Age" "Education" "Income" "PolInterest" "DemSat" "Vote" "UnderstandPol" "TrustGov"
"1" "1" "2" "7" "3" "3" "2" "2" "4" "4"
"2" "1" "2" "7" "2" "2" "3" "1" "3" "4"
"3" "1" "2" "7" "3" "3" "3" "2" "4" "2"
"4" "1" "2" "8" "2" "2" "2" "1" "4" "3"
"5" "1" "3" "9" "3" "2" "3" "1" "3" "3"
"6" "1" "3" "8" "3" "3" "2" "2" "3" "3"
"7" "1" "3" "8" "3" "2" "2" "2" "3" "3"
"8" "1" "3" "8" "4" "2" "3" "2" "2" "3"
"9" "1" "2" "8" "2" "2" "3" "2" "3" "3"
"10" "1" "2" "8" "4" "1" "2" "2" "2" "2"
"11" "1" "3" "9" "3" "3" "2" "2" "4" "2"
"12" "1" "2" "8" "2" "3" "2" "2" "3" "3"
"13" "1" "3" "7" "2" "2" "2" "2" "2" "3"
"14" "1" "2" "8" "3" "2" "2" "1" "3" "4"
"15" "1" "3" "9" "3" "3" "2" "2" "3" "3"
"16" "1" "3" "7" "3" "3" "2" "2" "2" "3"
"17" "1" "3" "8" "4" "2" "2" "2" "2" "2"
"18" "1" "2" "8" "1" "2" "3" "2" "2" "3"
"19" "1" "3" "7" "4" "2" "3" "2" "2" "3"
"20" "1" "3" "9" "3" "1" "2" "2" "2" "3"
"21" "1" "3" "9" "2" "1" "3" "2" "4" "3"
"22" "1" "3" "8" "2" "2" "3" "2" "2" "2"
"23" "1" "3" "8" "2" "2" "3" "2" "2" "2"
"24" "1" "3" "9" "2" "3" "3" "2" "2" "3"
"25" "1" "3" "9" "2" "2" "3" "2" "2" "3"
"26" "1" "2" "7" "2" "2" "3" "1" "2" "2"
"27" "1" "3" "8" "1" "2" "2" "2" "2" "3"
"28" "1" "3" "8" "2" "2" "2" "2" "4" "3"
"29" "1" "3" "8" "3" "2" "2" "2" "4" "3"
"30" "1" "3" "9" "3" "2" "2" "2" "4" "3"
"31" "1" "3" "7" "2" "3" "3" "1" "3" "1"
"32" "1" "3" "8" "2" "3" "3" "2" "4" "2"
"33" "1" "3" "8" "3" "3" "2" "2" "3" "4"
"34" "1" "3" "7" "2" "2" "2" "2" "4" "3"
"35" "1" "3" "8" "3" "2" "2" "2" "2" "4"
"36" "1" "2" "8" "2" "2" "3" "1" "3" "2"
"37" "1" "3" "9" "3" "2" "2" "1" "2" "3"
"38" "1" "3" "9" "1" "2" "3" "2" "3" "2"
"39" "1" "3" "8" "2" "3" "3" "2" "2" "2"
"40" "1" "3" "8" "5" "3" "2" "2" "3" "3"
"41" "1" "2" "8" "3" "2" "3" "2" "3" "3"
"42" "1" "3" "7" "4" "2" "3" "2" "2" "3"
"43" "1" "3" "8" "5" "2" "2" "1" "2" "3"
"44" "1" "3" "9" "4" "3" "3" "2" "3" "2"
"45" "1" "4" "7" "2" "4" "1" "2" "3" "4"
"46" "1" "3" "7" "2" "2" "3" "1" "2" "2"
"47" "1" "2" "9" "3" "2" "2" "2" "2" "3"
"48" "1" "6" "7" "2" "3" "2" "1" "4" "4"
"49" "1" "5" "7" "2" "3" "3" "2" "3" "3"
"50" "1" "4" "8" "2" "3" "3" "1" "4" "4"
"51" "1" "4" "7" "2" "3" "3" "1" "4" "4"
"52" "1" "4" "9" "2" "3" "3" "2" "3" "2"
"53" "1" "5" "7" "2" "4" "3" "2" "3" "3"
"54" "1" "4" "8" "2" "2" "3" "1" "2" "2"
"55" "1" "5" "7" "2" "3" "2" "2" "3" "3"
"56" "1" "5" "7" "2" "2" "2" "2" "3" "3"
"57" "1" "5" "7" "2" "2" "2" "1" "3" "2"
"58" "1" "5" "9" "3" "3" "3" "2" "3" "3"
"59" "1" "5" "9" "3" "2" "3" "1" "2" "2"
"60" "1" "4" "8" "2" "3" "2" "2" "2" "3"
"61" "1" "4" "7" "1" "1" "3" "2" "2" "3"
"62" "1" "5" "9" "2" "2" "3" "2" "4" "4"
"63" "1" "5" "8" "2" "2" "3" "2" "1" "2"
"64" "1" "5" "9" "2" "2" "3" "2" "3" "3"
"65" "1" "4" "9" "3" "2" "3" "2" "3" "2"
"66" "1" "5" "7" "3" "2" "3" "1" "4" "2"
"67" "1" "5" "8" "3" "3" "2" "2" "3" "3"
"68" "1" "4" "9" "2" "3" "3" "2" "3" "2"
"69" "1" "6" "9" "3" "4" "3" "1" "2" "4"
"70" "1" "4" "8" "2" "2" "2" "2" "4" "4"
"71" "1" "5" "7" "3" "1" "2" "1" "3" "3"
"72" "1" "5" "9" "3" "2" "3" "1" "4" "2"
"73" "1" "5" "9" "2" "3" "2" "2" "2" "4"
"74" "1" "5" "9" "2" "3" "3" "2" "2" "3"
"75" "1" "4" "7" "2" "2" "3" "2" "2" "2"
"76" "1" "5" "9" "2" "3" "3" "2" "3" "3"
"77" "1" "4" "7" "2" "3" "4" "2" "3" "2"
"78" "1" "5" "9" "3" "4" "2" "2" "2" "3"
"79" "1" "4" "7" "2" "3" "2" "2" "3" "3"
"80" "1" "5" "8" "4" "3" "3" "2" "3" "3"
"81" "1" "4" "9" "1" "2" "2" "2" "1" "3"
"82" "1" "4" "9" "1" "2" "3" "2" "2" "3"
"83" "1" "4" "9" "5" "2" "3" "2" "2" "3"
"84" "1" "4" "7" "3" "2" "3" "2" "2" "3"
"85" "1" "5" "9" "3" "3" "3" "2" "2" "3"
"86" "1" "4" "9" "2" "2" "3" "2" "3" "3"
"87" "1" "4" "9" "2" "1" "3" "2" "2" "2"
"88" "1" "5" "7" "2" "1" "3" "1" "1" "1"
"89" "1" "7" "9" "5" "3" "3" "1" "4" "4"
"90" "1" "6" "7" "2" "2" "3" "2" "3" "4"
"91" "1" "7" "7" "2" "3" "3" "2" "3" "2"
"92" "1" "6" "7" "2" "3" "3" "2" "2" "3"
"93" "1" "7" "8" "1" "3" "3" "2" "3" "2"
"94" "1" "7" "9" "3" "1" "2" "2" "3" "3"
"95" "1" "7" "7" "2" "3" "2" "2" "2" "2"
"96" "1" "6" "9" "3" "3" "2" "2" "2" "2"
"97" "1" "6" "9" "4" "3" "3" "1" "3" "4"
"98" "1" "7" "9" "2" "3" "2" "2" "3" "3"
"99" "1" "7" "9" "2" "1" "3" "2" "3" "3"
"100" "1" "6" "9" "2" "1" "3" "2" "2" "3"
"101" "1" "6" "9" "2" "3" "2" "2" "4" "3"
"102" "1" "7" "7" "4" "3" "2" "2" "3" "3"
"103" "1" "6" "7" "2" "3" "3" "2" "4" "4"
"104" "1" "6" "7" "2" "4" "2" "2" "3" "3"
