,q38,q49,se3a
10637,2.0,3.0,9
10638,2.0,3.0,4
10639,2.0,4.0,6
10640,2.0,1.0,3
10641,,3.0,2
10642,,4.0,2
10643,2.0,3.0,4
10644,1.0,1.0,10
10645,1.0,1.0,3
10646,2.0,2.0,9
10647,2.0,1.0,8
10648,2.0,2.0,6
10649,2.0,1.0,12
10650,2.0,2.0,3
10651,,2.0,2
10652,2.0,2.0,5
10653,2.0,3.0,10
10654,2.0,3.0,6
10655,2.0,2.0,10
10656,2.0,3.0,7
10657,2.0,2.0,4
10658,2.0,2.0,5
10659,2.0,1.0,6
10660,2.0,2.0,12
10661,2.0,1.0,5
10662,1.0,3.0,5
10663,2.0,1.0,10
10664,2.0,3.0,2
10665,2.0,2.0,6
10666,,2.0,2
10667,2.0,2.0,6
10668,,3.0,2
10669,1.0,2.0,2
10670,2.0,2.0,6
10671,1.0,2.0,2
10672,2.0,3.0,7
10673,2.0,1.0,4
10674,1.0,2.0,4
10675,2.0,3.0,10
10676,2.0,2.0,3
10677,1.0,1.0,2
10678,2.0,2.0,3
10679,1.0,3.0,3
10680,2.0,2.0,9
10681,2.0,2.0,7
10682,2.0,4.0,4
10683,2.0,4.0,5
10684,2.0,1.0,9
10685,2.0,2.0,3
10686,2.0,3.0,6
10687,2.0,2.0,10
10688,2.0,3.0,5
10689,2.0,4.0,8
10690,2.0,3.0,4
10691,2.0,2.0,12
10692,2.0,2.0,7
10693,1.0,2.0,7
10694,2.0,2.0,5
10695,1.0,3.0,4
10696,2.0,2.0,9
10697,2.0,2.0,10
10698,2.0,2.0,9
10699,2.0,2.0,9
10700,1.0,3.0,3
10701,2.0,2.0,4
10702,2.0,3.0,7
10703,2.0,2.0,4
10704,2.0,3.0,10
10705,1.0,2.0,4
10706,2.0,2.0,9
10707,2.0,2.0,4
10708,2.0,2.0,6
10709,2.0,1.0,9
10710,2.0,2.0,8
10711,2.0,1.0,8
10712,,3.0,2
10713,2.0,2.0,6
10714,2.0,2.0,5
10715,2.0,1.0,7
10716,2.0,2.0,4
10717,2.0,2.0,5
10718,2.0,2.0,5
10719,2.0,4.0,6
10720,2.0,2.0,3
10721,2.0,1.0,10
10722,2.0,3.0,7
10723,2.0,2.0,11
10724,1.0,1.0,2
10725,2.0,3.0,9
10726,,1.0,2
10727,2.0,4.0,3
10728,2.0,2.0,8
10729,2.0,4.0,4
10730,2.0,4.0,2
10731,2.0,2.0,3
10732,1.0,1.0,3
10733,2.0,3.0,6
10734,,3.0,5
10735,2.0,1.0,6
10736,1.0,1.0,11
10737,2.0,1.0,12
10738,2.0,2.0,6
10739,2.0,1.0,8
10740,2.0,3.0,11
10741,2.0,4.0,9
10742,1.0,3.0,2
10743,2.0,3.0,7
10744,,1.0,2
10745,2.0,1.0,11
10746,2.0,3.0,10
10747,2.0,1.0,7
10748,2.0,4.0,6
10749,2.0,2.0,12
10750,2.0,3.0,5
10751,2.0,2.0,12
10752,2.0,2.0,2
10753,2.0,3.0,5
10754,2.0,2.0,4
10755,2.0,1.0,4
10756,2.0,3.0,9
10757,2.0,4.0,10
10758,2.0,3.0,5
10759,1.0,3.0,6
10760,2.0,2.0,11
10761,2.0,1.0,7
10762,2.0,2.0,9
10763,2.0,2.0,10
10764,2.0,3.0,10
10765,2.0,2.0,3
10766,2.0,1.0,11
10767,2.0,2.0,3
10768,2.0,1.0,10
10769,2.0,2.0,5
10770,2.0,3.0,4
10771,2.0,2.0,9
10772,2.0,2.0,7
10773,2.0,4.0,8
10774,1.0,4.0,3
10775,1.0,1.0,5
10776,2.0,4.0,10
10777,2.0,1.0,5
10778,2.0,1.0,10
10779,2.0,1.0,4
10780,2.0,3.0,4
10781,2.0,1.0,5
10782,1.0,2.0,4
10783,2.0,3.0,3
10784,2.0,2.0,5
10785,2.0,1.0,9
10786,,2.0,4
10787,2.0,1.0,5
10788,2.0,3.0,8
10789,2.0,1.0,4
10790,2.0,2.0,9
10791,2.0,2.0,4
